 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Ano do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"350690 BOFETE";15;16;28;25;24;20;33;25;29;18;25;258
"350700 BOITUVA";106;166;166;136;155;162;179;183;163;161;168;1745
"350710 BOM JESUS DOS PERDOES";52;64;49;57;49;49;54;40;39;55;48;556
"350715 BOM SUCESSO DE ITARARE";8;4;14;2;6;7;4;5;4;4;4;62
"350720 BORA";1;-;1;-;-;-;1;2;1;1;2;9
"350730 BORACEIA";5;6;5;3;7;8;4;-;3;7;4;52
"350740 BORBOREMA";64;56;59;52;83;61;59;44;38;64;52;632
"350745 BOREBI";1;1;2;1;3;1;1;3;1;1;-;15
"350750 BOTUCATU";976;937;1057;1077;1063;1158;1174;1147;1204;1238;1351;12382
"350760 BRAGANCA PAULISTA";1001;1120;1132;1136;1094;1119;1306;1215;1282;1255;1348;13008
"350770 BRAUNA";5;9;7;2;9;3;4;4;4;8;3;58
"350775 BREJO ALEGRE";4;3;9;1;12;4;5;4;1;2;4;49
"350780 BRODOWSKI";42;43;51;23;37;49;42;38;37;51;51;464
"350790 BROTAS";60;82;76;61;71;74;76;68;68;68;68;772
"350800 BURI";36;43;55;58;47;52;56;58;49;33;47;534
"350810 BURITAMA";38;51;58;64;74;68;89;62;80;87;83;754
"350820 BURITIZAL";9;6;3;4;7;7;5;5;3;8;2;59
"350830 CABRALIA PAULISTA";3;5;1;4;4;3;1;-;5;2;10;38
"350840 CABREUVA";85;97;92;88;102;92;99;92;120;114;117;1098
"350850 CACAPAVA";273;255;253;234;298;332;304;268;260;257;326;3060
"350860 CACHOEIRA PAULISTA";81;87;90;93;112;83;59;86;97;73;86;947
"350870 CACONDE";58;61;69;62;55;63;56;69;58;76;57;684
"350880 CAFELANDIA";59;60;64;60;72;50;54;51;52;66;34;622
"350890 CAIABU";4;3;5;4;4;3;8;4;3;4;2;44
"350900 CAIEIRAS";265;235;260;260;296;243;268;250;251;253;292;2873
"350910 CAIUA";8;6;5;5;3;2;3;5;3;4;5;49
"350920 CAJAMAR";186;205;174;160;216;214;245;218;213;233;305;2369
"350925 CAJATI";76;63;58;67;71;52;62;67;70;59;67;712
"350930 CAJOBI";15;18;21;23;23;25;29;17;29;25;33;258
"350940 CAJURU";80;112;71;95;87;83;78;104;87;102;112;1011
"350945 CAMPINA DO MONTE ALEGRE";12;9;7;8;10;4;6;10;9;10;5;90
"350950 CAMPINAS";5464;5737;5520;5546;5497;5503;5678;5744;5609;5592;6959;62849
