 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Ano do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"352990 MIRACATU";70;68;63;51;37;73;52;52;59;68;57;650
"353000 MIRA ESTRELA";9;7;5;5;7;6;8;9;7;4;3;70
"353010 MIRANDOPOLIS";133;154;150;137;151;135;140;132;208;202;182;1724
"353020 MIRANTE DO PARANAPANEMA";23;40;22;31;33;35;38;49;36;35;44;386
"353030 MIRASSOL";127;93;116;114;136;109;109;94;78;82;102;1160
"353040 MIRASSOLANDIA";8;6;7;7;4;12;4;2;8;8;10;76
"353050 MOCOCA";343;386;360;379;404;418;410;395;346;387;442;4270
"353060 MOGI DAS CRUZES";2033;2024;2082;2103;2213;2251;2412;2403;2441;2404;3213;25579
"353070 MOGI GUACU";664;664;649;652;653;718;699;682;705;724;822;7632
"353080 MOGI MIRIM";373;397;446;469;467;465;464;470;489;530;576;5146
"353090 MOMBUCA";3;2;5;4;5;3;2;5;2;1;2;34
"353100 MONCOES";2;2;3;5;7;6;2;3;2;7;9;48
"353110 MONGAGUA";247;257;277;274;253;297;329;331;303;351;279;3198
"353120 MONTE ALEGRE DO SUL";11;13;17;11;8;13;12;12;12;19;15;143
"353130 MONTE ALTO";156;170;169;202;238;229;211;234;211;239;284;2343
"353140 MONTE APRAZIVEL";91;83;88;77;73;61;84;91;73;70;84;875
"353150 MONTE AZUL PAULISTA";68;66;50;58;68;66;65;62;47;57;56;663
"353160 MONTE CASTELO";3;8;4;8;3;1;3;5;5;4;7;51
"353170 MONTEIRO LOBATO";7;2;4;8;6;6;6;1;12;6;14;72
"353180 MONTE MOR";81;87;103;85;89;97;96;107;121;132;153;1151
"353190 MORRO AGUDO";67;74;73;77;66;63;74;69;70;69;88;790
"353200 MORUNGABA";37;31;27;22;29;29;42;29;38;40;28;352
"353205 MOTUCA";6;7;5;13;6;7;5;11;9;7;6;82
"353210 MURUTINGA DO SUL";21;13;5;5;12;7;5;5;7;4;5;89
"353215 NANTES";2;1;3;3;3;2;1;4;2;3;2;26
"353220 NARANDIBA";6;6;4;9;7;2;4;8;4;4;2;56
"353230 NATIVIDADE DA SERRA";18;17;14;15;15;16;19;14;18;14;9;169
"353240 NAZARE PAULISTA";91;76;86;80;85;56;95;81;79;84;68;881
"353250 NEVES PAULISTA";17;15;20;23;23;23;18;25;23;24;27;238
"353260 NHANDEARA";79;85;91;81;54;67;72;51;75;67;56;778
"353270 NIPOA";6;4;3;4;4;6;7;7;7;5;6;59
"353280 NOVA ALIANCA";8;2;7;8;10;12;7;20;7;7;13;101
"353282 NOVA CAMPINA";5;7;8;7;9;11;12;5;10;10;12;96
"353284 NOVA CANAA PAULISTA";2;3;1;1;1;1;1;5;4;1;6;26
"353286 NOVA CASTILHO";3;1;1;1;1;1;2;1;1;3;1;16
"353290 NOVA EUROPA";23;30;18;32;26;29;21;29;32;27;21;288
"353300 NOVA GRANADA";41;43;33;34;45;25;26;30;43;40;53;413
"353310 NOVA GUATAPORANGA";2;1;-;5;-;-;-;3;4;4;2;21
"353320 NOVA INDEPENDENCIA";1;4;3;6;2;1;3;5;3;6;5;39
"353325 NOVAIS";1;5;4;2;1;1;2;5;4;4;4;33
"353330 NOVA LUZITANIA";4;7;3;6;6;6;4;2;7;1;-;46
"353340 NOVA ODESSA";132;149;136;118;145;167;150;159;141;141;192;1630
"353350 NOVO HORIZONTE";124;139;138;136;118;136;128;133;129;145;236;1562
"353360 NUPORANGA";9;22;14;14;19;12;17;13;11;9;19;159
"353370 OCAUCU";4;4;5;14;5;4;7;5;5;12;9;74
"353380 OLEO";7;2;7;3;4;4;-;1;2;6;2;38
"353390 OLIMPIA";287;277;266;307;284;280;251;246;207;264;325;2994
"353400 ONDA VERDE";2;3;6;9;15;11;13;10;6;8;12;95
"353410 ORIENTE";10;12;10;11;17;13;16;14;19;13;19;154
"353420 ORINDIUVA";7;11;9;8;6;4;4;3;7;7;21;87
"353430 ORLANDIA";177;168;148;159;175;139;183;158;140;142;174;1763
"353440 OSASCO";2799;2624;2613;2673;2820;2788;2877;2775;2789;2920;3690;31368
"353450 OSCAR BRESSANE";2;2;4;6;6;7;11;4;8;1;6;57
"353460 OSVALDO CRUZ";169;160;150;148;133;152;152;160;167;171;211;1773
"353470 OURINHOS";538;594;546;576;641;689;672;681;611;661;718;6927
"353475 OUROESTE";16;11;25;21;23;33;19;24;20;22;28;242
"353480 OURO VERDE";6;7;5;7;5;5;9;17;7;13;10;91
"353490 PACAEMBU";27;26;30;30;27;23;24;42;23;49;52;353
"353500 PALESTINA";21;22;24;20;19;22;17;16;14;16;26;217
"353510 PALMARES PAULISTA";13;13;12;10;11;8;16;14;12;9;13;131
"353520 PALMEIRA D'OESTE";16;16;27;11;20;17;14;23;25;21;42;232
"353530 PALMITAL";101;104;108;101;81;98;103;78;86;86;89;1035
"353540 PANORAMA";34;58;58;45;33;43;65;44;48;47;59;534
"353550 PARAGUACU PAULISTA";237;196;264;243;252;238;249;208;219;232;278;2616
"353560 PARAIBUNA";64;49;55;52;30;31;21;21;35;23;35;416
"353570 PARAISO";13;10;6;13;7;4;9;11;11;6;11;101
"353580 PARANAPANEMA";50;58;44;70;50;52;51;48;53;59;57;592
"353590 PARANAPUA";5;6;7;2;6;6;4;9;5;11;13;74
"353600 PARAPUA";37;43;41;45;46;49;41;46;38;40;69;495
"353610 PARDINHO";15;15;18;13;12;9;19;14;13;16;13;157
"353620 PARIQUERA-ACU";475;474;492;464;500;566;676;661;622;516;651;6097
"353625 PARISI";2;1;2;1;5;3;4;1;4;3;4;30
"353630 PATROCINIO PAULISTA";45;51;48;47;40;51;43;45;40;29;47;486
"353640 PAULICEIA";8;5;11;9;6;10;9;10;11;15;11;105
"353650 PAULINIA";227;222;209;224;219;228;227;251;266;266;358;2697
"353657 PAULISTANIA";-;1;4;1;3;1;2;1;5;1;-;19
"353660 PAULO DE FARIA";34;13;23;26;21;17;18;15;13;26;28;234
"353670 PEDERNEIRAS";122;108;129;116;126;109;109;107;89;101;164;1280
"353680 PEDRA BELA";16;16;13;22;15;12;17;19;12;14;6;162
"353690 PEDRANOPOLIS";2;2;-;1;2;1;2;4;3;3;7;27
"353700 PEDREGULHO";45;45;27;26;41;29;52;40;68;58;88;519
"353710 PEDREIRA";154;157;151;150;136;152;163;133;154;139;159;1648
"353715 PEDRINHAS PAULISTA";3;4;7;3;2;5;7;3;3;1;2;40
"353720 PEDRO DE TOLEDO";27;19;19;15;20;25;31;25;14;23;34;252
"353730 PENAPOLIS";320;365;384;397;347;365;335;376;369;358;429;4045
"353740 PEREIRA BARRETO";110;93;97;114;111;118;99;124;106;98;101;1171
"353750 PEREIRAS";16;12;13;12;17;15;23;27;16;15;17;183
"353760 PERUIBE";285;279;332;300;338;346;337;273;277;287;252;3306
"353770 PIACATU";10;16;11;8;8;6;11;13;4;4;11;102
"353780 PIEDADE";193;204;198;235;253;254;290;266;237;239;231;2600
"353790 PILAR DO SUL";82;81;79;96;87;96;122;113;117;98;115;1086
"353800 PINDAMONHANGABA";461;494;458;644;663;705;665;692;727;759;881;7149
"353810 PINDORAMA";16;14;13;7;19;18;30;16;36;27;25;221
"353820 PINHALZINHO";34;41;39;35;38;41;33;31;44;45;46;427
"353830 PIQUEROBI";6;4;1;12;4;1;7;5;1;5;4;50
"353850 PIQUETE";33;35;29;31;33;31;29;37;20;37;23;338
"353860 PIRACAIA";110;117;108;88;86;86;104;78;86;96;104;1063
"353870 PIRACICABA";1561;1672;1727;1828;1735;1688;1683;1646;1684;1769;2086;19079
"353880 PIRAJU";204;181;160;176;186;174;184;171;174;166;209;1985
"353890 PIRAJUI";95;84;98;120;105;112;113;115;152;148;122;1264
"353900 PIRANGI";12;17;25;21;21;27;30;29;27;27;35;271
"353910 PIRAPORA DO BOM JESUS";35;40;38;52;37;41;37;39;29;36;42;426
"353920 PIRAPOZINHO";38;39;30;40;55;39;45;44;59;40;42;471
"353930 PIRASSUNUNGA";271;274;384;333;354;356;336;340;344;323;367;3682
"353940 PIRATININGA";45;42;36;46;40;32;33;26;35;31;34;400
"353950 PITANGUEIRAS";92;85;88;107;100;108;102;101;126;104;131;1144
"353960 PLANALTO";10;5;6;9;6;9;4;3;11;3;6;72
"353970 PLATINA";4;4;-;3;2;-;4;6;4;6;2;35
"353980 POA";175;180;207;199;235;162;199;161;116;126;241;2001
"353990 POLONI";15;5;8;13;8;11;13;4;9;14;6;106
"354000 POMPEIA";52;77;71;71;69;63;70;57;82;78;86;776
"354010 PONGAI";4;4;7;1;4;5;3;4;3;13;11;59
"354020 PONTAL";63;76;72;87;79;85;84;112;76;75;89;898
"354025 PONTALINDA";6;6;8;4;4;10;10;4;4;6;5;67
"354030 PONTES GESTAL";3;2;4;2;1;3;4;4;5;4;11;43
"354040 POPULINA";15;15;12;14;17;14;14;9;17;15;12;154
"354050 PORANGABA";26;17;20;29;34;21;27;23;34;34;26;291
"354060 PORTO FELIZ";177;177;175;172;170;212;186;189;207;152;187;2004
"354070 PORTO FERREIRA";231;212;215;242;193;205;176;225;283;231;256;2469
"354075 POTIM";12;22;19;10;25;15;28;31;30;15;30;237
"354080 POTIRENDABA";34;35;28;26;36;38;41;31;33;37;38;377
"354085 PRACINHA";-;4;1;3;-;3;2;4;1;4;5;27
"354090 PRADOPOLIS";25;25;20;24;24;20;23;31;19;36;31;278
"354100 PRAIA GRANDE";1328;1337;1440;1513;1528;1562;1498;1558;1616;1642;1864;16886
"354105 PRATANIA";8;8;11;13;9;5;5;9;14;5;6;93
"354110 PRESIDENTE ALVES";3;1;5;2;-;3;2;2;-;3;6;27
"354120 PRESIDENTE BERNARDES";38;44;41;42;28;58;56;55;62;52;74;550
"354130 PRESIDENTE EPITACIO";150;221;169;147;163;159;192;194;155;158;169;1877
"354140 PRESIDENTE PRUDENTE";1634;1700;1725;1876;1873;1900;2071;1940;1918;1948;2237;20822
"354150 PRESIDENTE VENCESLAU";141;139;144;157;163;148;164;188;163;167;189;1763
"354160 PROMISSAO";177;179;160;151;165;138;152;138;168;182;177;1787
"354165 QUADRA";4;3;3;4;3;7;4;8;3;5;11;55
"354170 QUATA";11;5;6;11;6;10;13;17;21;25;12;137
"354180 QUEIROZ";2;4;2;2;5;4;2;4;1;2;5;33
"354190 QUELUZ";30;35;30;36;21;38;35;36;36;30;30;357
"354200 QUINTANA";4;9;9;9;13;7;14;13;7;12;16;113
"354210 RAFARD";16;14;7;6;5;7;4;3;5;7;5;79
"354220 RANCHARIA";183;193;195;177;193;202;213;212;220;196;185;2169
"354230 REDENCAO DA SERRA";5;10;6;10;10;12;11;8;3;5;11;91
"354240 REGENTE FEIJO";36;35;33;35;35;31;50;55;55;54;69;488
"354250 REGINOPOLIS";8;5;5;4;7;2;5;12;16;11;13;88
"354260 REGISTRO";272;288;299;315;228;298;256;270;283;393;537;3439
"354270 RESTINGA";4;5;4;2;5;2;3;4;11;5;10;55
"354280 RIBEIRA";11;6;9;16;11;9;8;9;7;10;11;107
"354290 RIBEIRAO BONITO";23;28;22;60;40;25;34;28;36;48;37;381
"354300 RIBEIRAO BRANCO";28;35;57;58;52;67;66;62;60;70;91;646
"354310 RIBEIRAO CORRENTE";2;3;3;8;7;8;7;7;5;2;3;55
"354320 RIBEIRAO DO SUL";12;7;8;7;7;2;10;4;8;7;13;85
"354323 RIBEIRAO DOS INDIOS";1;5;4;5;2;5;2;3;1;1;4;33
"354325 RIBEIRAO GRANDE";7;10;7;10;7;9;7;4;16;8;12;97
"354330 RIBEIRAO PIRES";402;379;364;405;456;331;350;320;343;345;355;4050
"354340 RIBEIRAO PRETO";3599;3482;3580;3551;3622;3740;3882;4127;3891;3922;4907;42303
"354350 RIVERSUL";8;6;17;12;18;15;17;17;21;11;12;154
"354360 RIFAINA";7;8;16;12;9;20;11;18;12;16;15;144
"354370 RINCAO";8;8;14;22;17;21;15;21;18;25;21;190
"354380 RINOPOLIS";32;41;37;33;35;51;36;36;37;36;42;416
"354390 RIO CLARO";923;982;998;956;1056;1033;1078;1047;994;925;1119;11111
"354400 RIO DAS PEDRAS";48;62;53;65;63;61;71;88;59;72;74;716
"354410 RIO GRANDE DA SERRA";74;61;56;61;72;76;78;78;74;92;107;829
"354420 RIOLANDIA";21;22;27;22;22;21;21;15;16;13;18;218
"354425 ROSANA";89;87;81;89;89;106;115;100;105;123;110;1094
"354430 ROSEIRA";13;25;24;31;17;20;19;23;12;16;16;216
"354440 RUBIACEA";2;4;3;3;6;1;4;1;2;2;1;29
"354450 RUBINEIA";2;3;5;9;9;8;6;3;3;7;7;62
"354460 SABINO";17;20;16;16;15;13;14;28;19;20;12;190
"354470 SAGRES";1;2;3;1;3;3;3;1;6;-;2;25
"354480 SALES";20;11;13;8;16;17;11;14;29;14;15;168
"354490 SALES OLIVEIRA";16;31;24;26;29;29;27;21;29;30;29;291
"354500 SALESOPOLIS";67;38;41;11;34;49;45;42;36;53;48;464
"354510 SALMOURAO";1;2;3;3;5;5;2;8;3;4;3;39
"354515 SALTINHO";8;11;11;13;9;12;11;6;13;15;13;122
"354520 SALTO";377;423;419;382;398;416;443;493;444;403;468;4666
"354530 SALTO DE PIRAPORA";134;154;151;144;133;156;143;135;170;134;144;1598
"354540 SALTO GRANDE";49;37;32;25;34;35;25;36;38;34;40;385
"354550 SANDOVALINA";5;2;5;1;1;4;6;2;3;3;6;38
"354560 SANTA ADELIA";11;18;24;20;23;25;26;21;18;41;40;267
"354570 SANTA ALBERTINA";6;13;8;17;13;6;11;10;8;11;10;113
"354580 SANTA BARBARA D'OESTE";423;482;475;462;586;631;592;643;653;651;800;6398
"354600 SANTA BRANCA";10;20;15;19;29;22;11;14;10;20;18;188
"354610 SANTA CLARA D'OESTE";3;7;3;3;6;1;2;7;1;3;3;39
"354620 SANTA CRUZ DA CONCEICAO";8;6;3;6;4;3;7;9;4;4;3;57
"354625 SANTA CRUZ DA ESPERANCA";1;5;2;4;6;2;3;2;2;3;-;30
"354630 SANTA CRUZ DAS PALMEIRAS";73;93;83;99;84;88;92;106;108;121;129;1076
"354640 SANTA CRUZ DO RIO PARDO";195;192;194;147;186;218;207;175;202;218;222;2156
"354650 SANTA ERNESTINA";1;5;4;8;4;4;1;2;8;5;7;49
"354660 SANTA FE DO SUL";169;160;180;197;202;202;204;210;227;284;288;2323
"354670 SANTA GERTRUDES";28;33;27;16;6;20;26;32;32;26;34;280
"354680 SANTA ISABEL";287;267;270;295;286;269;283;284;270;268;330;3109
"354690 SANTA LUCIA";12;20;5;16;23;16;21;10;9;8;14;154
"354700 SANTA MARIA DA SERRA";18;12;20;18;17;11;15;14;14;10;19;168
"354710 SANTA MERCEDES";4;3;8;3;2;3;6;2;8;3;1;43
"354720 SANTANA DA PONTE PENSA";3;2;1;3;2;2;4;7;4;2;2;32
"354730 SANTANA DE PARNAIBA";165;199;212;223;245;232;260;257;257;254;333;2637
"354740 SANTA RITA D'OESTE";2;1;1;4;5;3;2;2;-;3;3;26
"354750 SANTA RITA DO PASSA QUATRO";115;160;113;132;123;140;129;164;88;103;116;1383
"354760 SANTA ROSA DE VITERBO";57;57;71;45;56;46;55;40;55;63;68;613
"354765 SANTA SALETE";3;-;2;6;1;1;3;4;3;1;3;27
"354770 SANTO ANASTACIO";41;63;52;52;55;65;95;78;76;79;78;734
"354780 SANTO ANDRE";3551;3694;3435;3747;3781;3828;3990;3787;3877;3740;4764;42194
"354790 SANTO ANTONIO DA ALEGRIA";22;14;22;33;28;31;31;25;23;27;25;281
"354800 SANTO ANTONIO DE POSSE";40;34;32;59;55;70;49;46;55;54;53;547
"354805 SANTO ANTONIO DO ARACANGUA";13;17;15;18;14;17;16;14;19;12;17;172
"354810 SANTO ANTONIO DO JARDIM";12;13;13;7;5;6;16;11;13;5;13;114
"354820 SANTO ANTONIO DO PINHAL";10;9;8;12;14;16;4;5;8;14;18;118
"354830 SANTO EXPEDITO";2;3;3;3;4;4;6;6;4;6;7;48
"354840 SANTOPOLIS DO AGUAPEI";7;11;6;5;17;5;5;3;4;4;7;74
"354850 SANTOS";4095;3703;3570;3669;3506;3646;3716;3626;3684;3366;4721;41302
"354860 SAO BENTO DO SAPUCAI";61;51;48;50;57;46;71;58;69;52;56;619
"354870 SAO BERNARDO DO CAMPO";2345;2323;2289;2347;2420;2635;2822;3051;3060;3087;4615;30994
"354880 SAO CAETANO DO SUL";959;872;927;963;841;824;850;911;830;885;1222;10084
"354890 SAO CARLOS";945;1025;1106;1115;1129;1227;1154;1191;1081;1112;1212;12297
"354900 SAO FRANCISCO";4;1;1;3;1;5;5;5;3;7;5;40
"354910 SAO JOAO DA BOA VISTA";591;599;635;663;657;713;673;698;704;721;787;7441
"354920 SAO JOAO DAS DUAS PONTES";1;1;1;-;2;3;3;3;5;6;3;28
"354925 SAO JOAO DE IRACEMA";1;1;3;2;-;1;1;-;1;3;1;14
"354930 SAO JOAO DO PAU D'ALHO";4;2;2;4;1;1;-;5;3;6;2;30
"354940 SAO JOAQUIM DA BARRA";231;207;236;215;261;262;270;268;256;298;334;2838
"354950 SAO JOSE DA BELA VISTA";14;19;8;5;13;9;11;14;13;17;9;132
"354960 SAO JOSE DO BARREIRO";14;10;6;3;3;9;12;6;9;4;14;90
"354970 SAO JOSE DO RIO PARDO";338;356;428;367;400;376;386;394;341;386;412;4184
"354980 SAO JOSE DO RIO PRETO";3270;3421;3317;3511;3445;3703;3757;3866;3903;4123;5165;41481
"354990 SAO JOSE DOS CAMPOS";2127;2170;2173;2248;2288;2575;2777;2669;2802;3065;3694;28588
"354995 SAO LOURENCO DA SERRA";49;32;39;66;48;43;55;44;36;59;30;501
"355000 SAO LUIS DO PARAITINGA";40;30;58;57;45;48;50;40;25;38;38;469
"355010 SAO MANUEL";190;196;181;181;189;148;184;165;169;140;150;1893
"355020 SAO MIGUEL ARCANJO";44;53;56;65;93;69;110;81;64;95;101;831
"355030 SAO PAULO";51244;52421;51423;53200;53412;54237;55420;53585;53367;53489;70853;602651
"355040 SAO PEDRO";88;81;76;100;82;90;103;105;87;100;94;1006
"355050 SAO PEDRO DO TURVO";11;9;3;7;5;9;9;8;7;14;11;93
"355060 SAO ROQUE";335;344;385;379;385;392;351;415;333;384;381;4084
"355070 SAO SEBASTIAO";252;251;257;308;279;297;280;248;253;266;277;2968
"355080 SAO SEBASTIAO DA GRAMA";33;24;43;54;39;38;29;39;44;39;48;430
"355090 SAO SIMAO";53;46;45;35;43;71;50;58;65;53;86;605
"355100 SAO VICENTE";1223;1179;1201;1255;1220;1149;1249;1237;1285;1285;1324;13607
"355110 SARAPUI";9;12;8;11;8;15;10;10;12;13;16;124
"355120 SARUTAIA";8;4;3;10;5;11;4;4;6;11;16;82
"355130 SEBASTIANOPOLIS DO SUL";1;3;4;5;3;1;5;9;8;2;5;46
"355140 SERRA AZUL";14;23;19;22;36;28;26;21;23;25;21;258
"355150 SERRANA";68;92;83;102;90;76;100;78;83;104;215;1091
"355160 SERRA NEGRA";135;136;159;125;128;109;142;118;127;125;130;1434
"355170 SERTAOZINHO";506;570;490;582;579;638;636;718;593;641;780;6733
"355180 SETE BARRAS";28;25;24;22;27;31;21;27;24;32;35;296
"355190 SEVERINIA";32;31;28;26;27;18;21;24;32;30;39;308
"355200 SILVEIRAS";15;15;16;17;14;16;20;12;4;12;17;158
"355210 SOCORRO";183;191;166;154;155;158;165;167;186;158;166;1849
"355220 SOROCABA";3154;3293;3135;3395;3190;3379;3476;3386;3550;3689;4458;38105
"355230 SUD MENNUCCI";20;22;14;27;18;34;31;23;17;21;22;249
"355240 SUMARE";595;685;668;694;756;780;746;774;909;854;1104;8565
"355250 SUZANO";872;914;687;704;735;729;693;653;795;768;833;8383
"355255 SUZANAPOLIS";5;4;2;8;-;6;2;2;2;3;4;38
"355260 TABAPUA";28;33;21;29;14;29;26;30;26;34;22;292
"355270 TABATINGA";57;44;54;46;59;62;53;43;46;48;40;552
"355280 TABOAO DA SERRA";895;976;1032;1028;1103;1080;1090;1136;1224;1147;1280;11991
"355290 TACIBA";5;16;6;5;7;6;5;7;9;11;8;85
"355300 TAGUAI";36;25;33;26;30;41;30;40;33;36;83;413
"355310 TAIACU";6;14;11;7;12;10;4;13;7;11;20;115
"355320 TAIUVA";9;2;13;10;13;8;10;11;7;7;13;103
"355330 TAMBAU";78;55;64;63;50;67;54;53;67;92;101;744
"355340 TANABI";73;91;76;60;63;54;46;61;86;69;76;755
"355350 TAPIRAI";15;19;13;16;24;23;27;9;19;25;17;207
"355360 TAPIRATIBA";59;48;41;39;40;42;45;36;43;43;37;473
"355365 TAQUARAL";5;3;4;6;5;2;8;5;6;7;3;54
"355370 TAQUARITINGA";281;267;319;276;279;318;285;301;285;349;329;3289
"355380 TAQUARITUBA";74;81;97;90;84;108;89;111;111;89;113;1047
"355385 TAQUARIVAI";5;11;5;4;7;7;3;6;7;9;12;76
"355390 TARABAI";4;9;7;9;10;13;9;7;3;6;12;89
"355395 TARUMA";20;13;15;7;21;23;22;28;26;22;22;219
"355400 TATUI";454;501;537;543;526;564;618;568;535;510;653;6009
"355410 TAUBATE";1459;1499;1479;1569;1447;1418;1569;1512;1586;1568;1680;16786
"355420 TEJUPA";5;8;6;2;3;7;4;4;3;10;9;61
"355430 TEODORO SAMPAIO";71;69;73;65;58;64;70;58;61;68;57;714
"355440 TERRA ROXA";18;23;26;20;24;19;13;16;18;13;16;206
"355450 TIETE";119;114;129;123;116;139;155;129;125;117;147;1413
"355460 TIMBURI";2;4;1;9;7;5;3;3;3;4;9;50
"355465 TORRE DE PEDRA";10;7;8;5;1;7;6;7;3;6;9;69
"355470 TORRINHA";32;34;47;23;24;39;21;30;27;15;24;316
"355475 TRABIJU";1;2;-;-;2;2;1;3;-;2;1;14
"355480 TREMEMBE";86;106;86;114;106;81;95;95;100;95;76;1040
"355490 TRES FRONTEIRAS";8;13;7;11;7;7;10;1;6;2;3;75
"355495 TUIUTI";7;25;8;11;13;14;13;17;12;19;12;151
"355500 TUPA";404;450;471;392;483;491;561;508;516;522;589;5387
"355510 TUPI PAULISTA";93;105;93;93;85;74;95;97;105;88;98;1026
"355520 TURIUBA";4;2;2;1;3;5;6;3;2;1;-;29
"355530 TURMALINA";2;2;1;3;5;4;8;2;1;5;3;36
"355535 UBARANA";6;8;8;8;4;11;10;6;5;5;9;80
"355540 UBATUBA";251;229;244;267;231;263;294;238;260;273;255;2805
"355550 UBIRAJARA";6;3;7;11;11;3;10;16;8;11;7;93
"355560 UCHOA";18;21;14;16;20;14;17;30;14;17;31;212
"355570 UNIAO PAULISTA";1;2;2;2;-;2;2;-;2;2;1;16
"355580 URANIA";16;26;23;31;21;15;22;21;18;18;23;234
"355590 URU";5;3;3;4;-;-;2;1;1;1;2;22
"355600 URUPES";43;55;44;57;49;56;52;66;51;47;33;553
"355610 VALENTIM GENTIL";13;14;9;6;16;19;13;13;17;28;10;158
"355620 VALINHOS";415;424;490;592;628;681;700;623;629;625;828;6635
"355630 VALPARAISO";37;59;42;53;70;55;70;51;51;47;61;596
"355635 VARGEM";30;23;26;21;20;21;22;22;13;9;19;226
"355640 VARGEM GRANDE DO SUL";172;157;136;148;146;173;141;197;173;179;204;1826
"355645 VARGEM GRANDE PAULISTA";52;65;61;62;73;51;73;67;84;85;98;771
"355650 VARZEA PAULISTA";193;207;214;202;200;221;232;235;257;272;194;2427
"355660 VERA CRUZ";22;14;34;15;17;27;24;13;12;9;24;211
"355670 VINHEDO";216;228;189;181;82;84;151;216;217;262;321;2147
"355680 VIRADOURO";43;50;40;41;37;41;42;42;58;50;53;497
"355690 VISTA ALEGRE DO ALTO";7;11;8;14;7;5;10;10;18;11;16;117
"355695 VITORIA BRASIL";2;1;1;2;2;3;4;4;1;-;1;21
"355700 VOTORANTIM";363;413;388;346;370;445;408;403;396;341;394;4267
"355710 VOTUPORANGA";665;691;672;632;653;607;569;631;684;678;959;7441
"355715 ZACARIAS";7;7;2;2;5;4;8;7;1;5;4;52
"355720 CHAVANTES";36;40;31;38;51;53;52;59;43;32;47;482
"355730 ESTIVA GERBI";11;3;6;6;14;14;7;7;9;20;11;108
"Total";177338;181136;179843;184762;186674;190164;195783;193140;193598;196025;240977;2119440
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
