 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"354280 RIBEIRA";1;10;75;13;8;-;107
"354290 RIBEIRAO BONITO";169;61;93;25;31;2;381
"354300 RIBEIRAO BRANCO";320;3;257;45;20;1;646
"354310 RIBEIRAO CORRENTE";1;7;34;1;12;-;55
"354320 RIBEIRAO DO SUL";1;13;48;15;7;1;85
"354323 RIBEIRAO DOS INDIOS";-;1;26;4;2;-;33
"354325 RIBEIRAO GRANDE";2;6;73;10;6;-;97
"354330 RIBEIRAO PIRES";1878;733;890;255;294;-;4050
"354340 RIBEIRAO PRETO";32776;2389;5223;971;941;3;42303
"354350 RIVERSUL";3;66;72;12;1;-;154
"354360 RIFAINA";7;30;50;24;33;-;144
"354370 RINCAO";2;68;75;17;27;1;190
"354380 RINOPOLIS";282;-;102;21;11;-;416
"354390 RIO CLARO";5523;3126;1799;418;241;4;11111
"354400 RIO DAS PEDRAS";350;101;158;79;28;-;716
"354410 RIO GRANDE DA SERRA";48;380;322;35;41;3;829
"354420 RIOLANDIA";111;2;62;13;30;-;218
"354425 ROSANA";920;10;80;45;39;-;1094
"354430 ROSEIRA";40;16;82;62;16;-;216
"354440 RUBIACEA";-;-;23;5;1;-;29
"354450 RUBINEIA";-;-;40;9;13;-;62
"354460 SABINO";-;26;123;17;24;-;190
"354470 SAGRES";-;-;17;7;1;-;25
"354480 SALES";1;60;61;13;33;-;168
"354490 SALES OLIVEIRA";158;4;89;30;10;-;291
"354500 SALESOPOLIS";214;-;187;39;24;-;464
"354510 SALMOURAO";-;-;24;6;9;-;39
"354515 SALTINHO";-;47;61;8;6;-;122
"354520 SALTO";3821;1;629;138;76;1;4666
"354530 SALTO DE PIRAPORA";1166;5;263;114;49;1;1598
"354540 SALTO GRANDE";280;3;51;27;20;4;385
"354550 SANDOVALINA";-;6;24;5;3;-;38
"354560 SANTA ADELIA";97;1;110;34;24;1;267
"354570 SANTA ALBERTINA";2;54;32;15;10;-;113
"354580 SANTA BARBARA D'OESTE";3579;1544;988;205;78;4;6398
"354600 SANTA BRANCA";11;17;96;13;50;1;188
"354610 SANTA CLARA D'OESTE";-;-;18;8;13;-;39
"354620 SANTA CRUZ DA CONCEICAO";-;1;30;21;5;-;57
"354625 SANTA CRUZ DA ESPERANCA";-;2;10;11;7;-;30
"354630 SANTA CRUZ DAS PALMEIRAS";716;1;260;56;43;-;1076
"354640 SANTA CRUZ DO RIO PARDO";1613;73;335;82;52;1;2156
"354650 SANTA ERNESTINA";-;-;34;12;3;-;49
"354660 SANTA FE DO SUL";1795;200;221;47;59;1;2323
"354670 SANTA GERTRUDES";128;7;86;42;16;1;280
"354680 SANTA ISABEL";2151;381;334;131;109;3;3109
"354690 SANTA LUCIA";11;59;60;13;11;-;154
"354700 SANTA MARIA DA SERRA";77;-;57;20;14;-;168
"354710 SANTA MERCEDES";-;-;21;18;4;-;43
"354720 SANTANA DA PONTE PENSA";-;1;26;4;1;-;32
"354730 SANTANA DE PARNAIBA";1040;803;547;154;91;2;2637
"354740 SANTA RITA D'OESTE";-;-;19;5;2;-;26
"354750 SANTA RITA DO PASSA QUATRO";964;78;220;101;20;-;1383
"354760 SANTA ROSA DE VITERBO";406;37;122;22;24;2;613
"354765 SANTA SALETE";-;2;13;10;2;-;27
"354770 SANTO ANASTACIO";575;-;99;25;35;-;734
"354780 SANTO ANDRE";26966;5474;7398;1054;1287;15;42194
"354790 SANTO ANTONIO DA ALEGRIA";161;9;75;14;22;-;281
"354800 SANTO ANTONIO DE POSSE";3;249;209;46;35;5;547
"354805 SANTO ANTONIO DO ARACANGUA";-;33;69;44;26;-;172
"354810 SANTO ANTONIO DO JARDIM";-;1;72;31;10;-;114
"354820 SANTO ANTONIO DO PINHAL";4;42;46;15;11;-;118
"354830 SANTO EXPEDITO";-;-;43;5;-;-;48
"354840 SANTOPOLIS DO AGUAPEI";10;6;35;20;3;-;74
"354850 SANTOS";27373;7397;5063;590;873;6;41302
"354860 SAO BENTO DO SAPUCAI";495;1;79;24;20;-;619
"354870 SAO BERNARDO DO CAMPO";22795;236;5651;1395;908;9;30994
"354880 SAO CAETANO DO SUL";8081;100;1540;106;257;-;10084
"354890 SAO CARLOS";9046;129;2190;463;457;12;12297
"354900 SAO FRANCISCO";-;1;35;2;2;-;40
"354910 SAO JOAO DA BOA VISTA";6024;143;946;137;188;3;7441
"354920 SAO JOAO DAS DUAS PONTES";-;4;13;7;4;-;28
"354925 SAO JOAO DE IRACEMA";-;-;8;3;3;-;14
"354930 SAO JOAO DO PAU D'ALHO";-;-;20;6;4;-;30
"354940 SAO JOAQUIM DA BARRA";2398;28;267;95;50;-;2838
"354950 SAO JOSE DA BELA VISTA";31;4;59;20;17;1;132
"354960 SAO JOSE DO BARREIRO";10;5;55;10;10;-;90
"354970 SAO JOSE DO RIO PARDO";3256;140;540;74;161;13;4184
"354980 SAO JOSE DO RIO PRETO";34660;1265;4169;631;748;8;41481
"354990 SAO JOSE DOS CAMPOS";23011;291;3270;990;449;577;28588
"354995 SAO LOURENCO DA SERRA";10;161;175;109;44;2;501
"355000 SAO LUIS DO PARAITINGA";294;1;110;35;27;2;469
"355010 SAO MANUEL";1302;4;435;104;44;4;1893
