 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2020
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"355350 TAPIRAI";-;4;2;1;1;4;-;1;1;1;1;1;17
"355360 TAPIRATIBA";6;2;1;1;3;4;2;4;2;4;1;7;37
"355365 TAQUARAL";-;-;-;-;-;1;-;-;1;-;1;-;3
"355370 TAQUARITINGA";16;22;28;22;21;31;23;41;34;49;20;22;329
"355380 TAQUARITUBA";8;4;5;4;10;11;14;14;11;14;7;11;113
"355385 TAQUARIVAI";1;-;1;3;1;3;1;1;-;-;1;-;12
"355390 TARABAI";-;2;1;-;1;-;1;1;1;4;-;1;12
"355395 TARUMA";2;2;5;-;6;1;1;-;4;1;-;-;22
"355400 TATUI";40;37;41;33;59;63;67;71;65;62;56;59;653
"355410 TAUBATE";131;101;135;99;116;125;171;163;166;155;144;174;1680
"355420 TEJUPA";-;1;-;-;2;-;2;1;-;1;1;1;9
"355430 TEODORO SAMPAIO";5;5;4;8;6;4;4;5;3;5;4;4;57
"355440 TERRA ROXA";-;-;-;1;2;-;3;2;2;4;2;-;16
"355450 TIETE";11;14;17;9;17;11;17;13;13;11;6;8;147
"355460 TIMBURI";-;2;1;-;1;-;-;1;1;1;-;2;9
"355465 TORRE DE PEDRA";1;2;1;-;2;-;-;2;-;-;-;1;9
"355470 TORRINHA";-;4;1;2;-;3;3;4;1;3;1;2;24
"355475 TRABIJU";-;-;-;1;-;-;-;-;-;-;-;-;1
"355480 TREMEMBE";4;5;4;8;10;6;8;3;10;4;8;6;76
"355490 TRES FRONTEIRAS";-;-;1;-;-;-;-;1;-;1;-;-;3
"355495 TUIUTI";2;1;-;1;-;-;-;1;-;3;3;1;12
"355500 TUPA";38;40;46;26;41;50;62;61;54;60;47;64;589
"355510 TUPI PAULISTA";6;8;7;5;11;9;4;9;7;15;8;9;98
"355530 TURMALINA";1;-;-;1;-;-;-;-;-;1;-;-;3
"355535 UBARANA";-;-;2;1;2;-;-;-;-;-;3;1;9
"355540 UBATUBA";17;26;20;19;23;19;30;17;29;16;21;18;255
"355550 UBIRAJARA";-;-;-;1;-;-;2;2;-;-;2;-;7
"355560 UCHOA";1;3;8;-;3;4;1;2;7;2;-;-;31
"355570 UNIAO PAULISTA";-;-;-;-;-;-;-;-;-;-;-;1;1
"355580 URANIA";-;4;2;-;1;1;2;1;3;6;1;2;23
"355590 URU";-;-;-;-;-;-;1;-;-;-;1;-;2
"355600 URUPES";2;3;1;2;1;4;6;4;3;4;1;2;33
"355610 VALENTIM GENTIL";-;-;3;-;2;-;1;3;-;1;-;-;10
"355620 VALINHOS";55;44;58;53;60;66;93;91;80;87;65;76;828
"355630 VALPARAISO";5;1;5;5;7;1;6;6;8;10;3;4;61
"355635 VARGEM";1;-;1;1;4;-;3;1;1;3;1;3;19
"355640 VARGEM GRANDE DO SUL";19;9;13;15;17;19;18;16;19;30;13;16;204
"355645 VARGEM GRANDE PAULISTA";11;7;8;13;7;10;12;9;6;5;6;4;98
"355650 VARZEA PAULISTA";7;20;22;16;16;18;22;10;14;22;12;15;194
"355660 VERA CRUZ";1;2;2;1;5;1;2;4;1;3;1;1;24
"355670 VINHEDO";22;19;33;26;19;36;38;30;17;31;26;24;321
"355680 VIRADOURO";5;3;4;4;8;2;4;2;6;9;2;4;53
"355690 VISTA ALEGRE DO ALTO";1;-;-;-;-;3;1;2;2;4;2;1;16
"355695 VITORIA BRASIL";-;-;-;-;-;-;1;-;-;-;-;-;1
"355700 VOTORANTIM";22;19;28;30;39;34;41;30;30;35;37;49;394
"355710 VOTUPORANGA";60;61;60;58;68;71;104;98;89;142;64;84;959
"355715 ZACARIAS";1;1;-;1;-;-;-;-;-;1;-;-;4
"355720 CHAVANTES";5;2;4;-;4;4;5;6;3;1;8;5;47
"355730 ESTIVA GERBI";-;-;1;2;3;1;-;2;-;-;2;-;11
"Total";15696;14567;17288;18715;23673;23769;24572;23558;20319;19901;18082;20837;240977
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
