 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2016
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";22;16;25;28;34;31;25;19;22;30;11;14;277
"350020 ADOLFO";1;-;-;-;-;-;3;-;-;4;1;-;9
"350030 AGUAI";4;1;2;4;5;1;2;2;4;4;2;4;35
"350040 AGUAS DA PRATA";2;1;2;1;1;3;2;-;-;1;1;1;15
"350050 AGUAS DE LINDOIA";9;9;12;11;9;6;18;7;7;12;9;9;118
"350055 AGUAS DE SANTA BARBARA";-;1;-;-;-;3;-;-;-;-;1;-;5
"350060 AGUAS DE SAO PEDRO";1;1;-;-;-;-;1;-;1;-;1;-;5
"350070 AGUDOS";7;9;10;10;5;13;16;8;6;13;2;9;108
"350075 ALAMBARI";-;-;2;-;1;1;-;-;-;2;-;1;7
"350080 ALFREDO MARCONDES";-;-;1;-;1;-;-;-;-;-;-;-;2
"350090 ALTAIR";1;1;1;1;1;1;1;2;1;-;-;-;10
"350100 ALTINOPOLIS";8;3;5;8;4;8;4;-;5;8;4;5;62
"350110 ALTO ALEGRE";1;-;2;-;-;-;-;1;-;1;-;-;5
"350115 ALUMINIO";2;3;3;6;4;1;5;7;2;2;6;5;46
"350120 ALVARES FLORENCE";-;-;-;1;2;-;1;-;-;1;-;-;5
"350130 ALVARES MACHADO";1;5;5;3;3;5;3;3;7;7;-;6;48
"350140 ALVARO DE CARVALHO";-;-;-;-;-;-;-;-;1;-;-;-;1
"350150 ALVINLANDIA";-;-;-;-;-;-;3;1;1;-;-;-;5
"350160 AMERICANA";66;52;68;82;78;84;98;87;61;69;60;53;858
"350170 AMERICO BRASILIENSE";14;18;15;11;28;15;21;12;20;21;16;19;210
"350180 AMERICO DE CAMPOS";1;2;1;1;-;-;2;-;-;-;1;-;8
"350190 AMPARO";34;35;43;37;47;46;49;29;37;33;38;29;457
"350200 ANALANDIA";-;-;3;1;-;-;1;-;-;-;1;2;8
"350210 ANDRADINA";31;31;32;46;24;49;33;36;33;45;22;36;418
"350220 ANGATUBA";8;7;5;7;7;9;10;7;9;10;4;3;86
"350230 ANHEMBI";-;1;2;1;1;1;2;2;3;2;3;-;18
"350240 ANHUMAS";-;-;-;1;-;1;-;-;-;-;-;-;2
"350250 APARECIDA";16;16;15;14;17;29;27;22;14;23;28;15;236
"350260 APARECIDA D'OESTE";1;2;1;-;-;1;-;1;2;2;1;4;15
"350270 APIAI";15;9;12;7;17;19;16;13;19;15;12;10;164
"350275 ARACARIGUAMA";6;2;5;8;7;5;6;8;3;4;4;7;65
"350280 ARACATUBA";96;105;136;113;114;93;131;93;97;104;86;99;1267
"350290 ARACOIABA DA SERRA";6;2;5;3;8;4;5;6;4;3;4;6;56
"350300 ARAMINA";-;-;2;-;-;-;3;-;-;2;1;1;9
"350310 ARANDU";2;2;1;1;1;-;2;-;2;3;2;-;16
"350315 ARAPEI";-;1;1;-;-;1;2;-;1;1;1;-;8
"350320 ARARAQUARA";103;86;117;103;115;108;136;129;84;109;104;85;1279
"350330 ARARAS";50;45;49;50;45;52;50;51;38;28;42;34;534
"350335 ARCO-IRIS";-;-;-;1;-;-;-;-;-;-;-;-;1
"350340 AREALVA";-;1;1;1;6;3;2;1;3;3;1;6;28
"350350 AREIAS";1;2;-;4;-;-;2;-;3;-;1;-;13
"350360 AREIOPOLIS";4;3;1;2;3;2;-;1;-;-;1;2;19
"350370 ARIRANHA";1;1;2;-;1;1;5;2;2;1;1;2;19
"350380 ARTUR NOGUEIRA";12;12;6;6;10;12;8;12;13;7;6;6;110
"350390 ARUJA";19;23;24;27;22;19;26;19;19;21;16;17;252
"350395 ASPASIA";-;-;-;-;-;1;1;-;-;1;-;1;4
"350400 ASSIS";45;40;50;44;62;67;56;48;53;58;44;44;611
"350410 ATIBAIA";37;57;52;52;57;64;70;68;56;54;42;59;668
"350420 AURIFLAMA";7;5;7;5;5;9;5;1;6;3;7;2;62
"350430 AVAI";1;-;-;-;2;-;-;1;-;-;1;1;6
"350440 AVANHANDAVA";2;-;-;1;-;3;-;-;2;-;-;-;8
"350450 AVARE";30;26;34;30;32;31;52;34;39;39;34;40;421
"350460 BADY BASSITT";3;-;2;3;1;6;4;2;-;1;3;-;25
"350470 BALBINOS";1;1;-;3;-;-;1;-;1;-;-;-;7
"350480 BALSAMO";2;2;-;1;-;2;2;1;1;-;1;2;14
"350490 BANANAL";1;-;-;-;2;6;3;2;2;2;3;2;23
"350500 BARAO DE ANTONINA";-;1;-;-;-;1;-;-;-;2;1;-;5
"350510 BARBOSA";1;-;-;1;-;-;2;1;1;1;-;-;7
"350520 BARIRI";15;16;22;12;20;11;24;10;19;6;15;13;183
"350530 BARRA BONITA";11;13;10;15;18;20;13;12;22;11;14;16;175
"350535 BARRA DO CHAPEU";-;-;-;1;-;3;3;1;-;-;1;3;12
"350540 BARRA DO TURVO";3;1;1;2;2;2;5;2;-;1;2;8;29
"350550 BARRETOS";95;84;108;101;110;104;116;98;73;86;81;86;1142
"350560 BARRINHA";6;3;2;11;-;7;5;2;2;4;5;-;47
"350570 BARUERI";94;82;125;135;108;112;128;105;104;113;96;101;1303
"350580 BASTOS";4;8;3;4;3;5;2;5;1;9;7;5;56
"350590 BATATAIS";17;25;31;18;27;37;28;16;15;30;16;24;284
"350600 BAURU";164;146;181;197;232;218;215;197;207;176;153;184;2270
"350610 BEBEDOURO";38;35;41;50;52;50;43;42;37;34;33;36;491
"350630 BERNARDINO DE CAMPOS";9;5;5;5;10;5;6;2;4;-;6;1;58
"350635 BERTIOGA";20;21;19;19;15;30;15;10;19;11;20;18;217
"350640 BILAC";4;3;1;1;3;4;2;-;1;1;3;2;25
"350650 BIRIGUI";35;26;39;44;32;47;45;34;20;36;21;37;416
"350660 BIRITIBA-MIRIM";1;2;6;3;4;4;4;5;5;4;2;3;43
"350670 BOA ESPERANCA DO SUL";2;-;-;2;2;3;1;5;8;3;3;2;31
"350680 BOCAINA";-;3;4;2;3;2;-;-;2;2;-;-;18
"350690 BOFETE";-;1;3;2;5;3;4;3;4;3;1;4;33
"350700 BOITUVA";14;9;20;13;19;19;20;12;9;14;17;13;179
"350710 BOM JESUS DOS PERDOES";1;2;4;6;10;6;6;5;2;4;3;5;54
"350715 BOM SUCESSO DE ITARARE";1;1;-;1;1;-;-;-;-;-;-;-;4
"350720 BORA";-;-;-;1;-;-;-;-;-;-;-;-;1
"350730 BORACEIA";-;-;1;-;-;-;-;-;1;-;1;1;4
"350740 BORBOREMA";7;5;3;1;6;6;4;1;9;3;8;6;59
"350745 BOREBI";-;-;-;-;-;-;-;-;-;1;-;-;1
"350750 BOTUCATU";74;92;112;128;96;110;111;86;77;91;93;104;1174
"350760 BRAGANCA PAULISTA";97;98;108;107;114;140;125;114;105;115;98;85;1306
"350770 BRAUNA";-;-;3;-;-;-;-;1;-;-;-;-;4
"350775 BREJO ALEGRE";-;-;-;2;-;-;-;1;1;1;-;-;5
"350780 BRODOWSKI";5;6;3;1;3;2;5;4;4;6;2;1;42
"350790 BROTAS";3;6;6;7;3;12;11;5;6;8;4;5;76
"350800 BURI";5;1;5;5;5;3;7;2;8;6;3;6;56
"350810 BURITAMA";10;7;4;15;4;8;13;6;7;7;4;4;89
"350820 BURITIZAL";-;1;2;-;-;-;1;-;1;-;-;-;5
"350830 CABRALIA PAULISTA";-;-;-;-;-;1;-;-;-;-;-;-;1
"350840 CABREUVA";4;10;6;12;7;7;12;7;17;8;5;4;99
"350850 CACAPAVA";30;20;33;28;23;29;24;26;18;27;21;25;304
"350860 CACHOEIRA PAULISTA";3;6;4;6;4;7;2;5;4;4;6;8;59
"350870 CACONDE";6;2;5;4;9;6;5;7;5;2;4;1;56
"350880 CAFELANDIA";4;2;4;6;5;4;4;4;6;4;6;5;54
"350890 CAIABU";1;-;-;1;-;-;1;-;1;1;1;2;8
"350900 CAIEIRAS";18;22;29;21;14;32;26;29;23;22;13;19;268
"350910 CAIUA";-;1;-;1;-;1;-;-;-;-;-;-;3
"350920 CAJAMAR";18;16;17;22;19;25;25;22;19;25;21;16;245
"350925 CAJATI";5;5;4;2;8;7;5;7;2;7;6;4;62
"350930 CAJOBI";-;3;4;2;-;1;2;4;2;2;5;4;29
"350940 CAJURU";6;3;4;5;5;6;5;11;6;13;8;6;78
"350945 CAMPINA DO MONTE ALEGRE";-;-;1;2;-;1;-;-;-;-;1;1;6
"350950 CAMPINAS";442;374;421;496;517;556;534;512;477;442;428;479;5678
"350960 CAMPO LIMPO PAULISTA";23;20;14;18;21;31;26;29;17;19;19;21;258
"350970 CAMPOS DO JORDAO";17;14;16;25;17;22;25;14;20;16;18;22;226
"350980 CAMPOS NOVOS PAULISTA";1;-;-;2;2;2;-;-;-;1;2;-;10
"350990 CANANEIA";4;3;2;-;-;1;-;-;1;1;-;-;12
"350995 CANAS";-;-;-;1;1;-;-;-;1;1;-;-;4
"351000 CANDIDO MOTA";3;3;5;7;8;8;8;8;10;6;6;9;81
"351010 CANDIDO RODRIGUES";-;1;-;-;-;1;1;2;1;-;-;1;7
"351015 CANITAR";2;-;-;2;1;1;-;-;-;-;-;-;6
"351020 CAPAO BONITO";24;16;20;25;19;24;25;16;18;20;21;21;249
"351030 CAPELA DO ALTO";2;2;3;3;3;6;3;6;1;-;1;1;31
"351040 CAPIVARI";12;12;11;12;17;21;30;26;28;18;15;21;223
"351050 CARAGUATATUBA";39;39;26;38;36;47;37;40;44;43;29;30;448
"351060 CARAPICUIBA";84;76;80;84;93;115;98;77;73;92;57;83;1012
"351070 CARDOSO";1;-;5;1;-;1;3;2;-;4;2;2;21
"351080 CASA BRANCA";12;13;13;16;14;12;14;9;14;10;10;6;143
"351090 CASSIA DOS COQUEIROS";-;-;-;3;-;-;-;-;-;-;1;-;4
"351100 CASTILHO";5;7;2;2;9;8;6;10;6;4;7;3;69
"351110 CATANDUVA";87;81;93;86;80;95;111;92;73;85;74;76;1033
"351120 CATIGUA";-;-;1;1;1;2;1;2;-;2;1;-;11
"351130 CEDRAL";-;-;4;2;2;-;2;2;1;-;-;3;16
"351140 CERQUEIRA CESAR";5;4;5;9;5;7;11;6;5;3;5;12;77
"351150 CERQUILHO";7;5;6;13;10;12;13;8;7;7;9;13;110
"351160 CESARIO LANGE";3;8;5;6;7;4;3;3;6;4;7;2;58
"351170 CHARQUEADA";6;5;1;2;4;6;5;1;4;1;2;2;39
"351190 CLEMENTINA";2;-;2;1;2;3;4;-;2;4;1;2;23
"351200 COLINA";-;3;5;5;2;4;5;4;3;6;2;3;42
"351210 COLOMBIA";2;1;1;4;-;2;-;1;-;-;-;-;11
"351220 CONCHAL";3;3;2;4;8;5;7;4;5;3;11;2;57
"351230 CONCHAS";5;7;5;-;7;9;11;9;3;4;4;3;67
"351240 CORDEIROPOLIS";3;2;4;-;3;2;5;6;4;3;3;1;36
"351250 COROADOS";-;-;-;-;-;-;1;-;4;-;1;1;7
"351260 CORONEL MACEDO";-;-;-;-;-;-;-;-;-;-;-;1;1
"351270 CORUMBATAI";-;-;-;-;-;-;1;-;1;-;-;-;2
"351280 COSMOPOLIS";7;10;15;11;8;17;14;11;16;12;8;13;142
"351290 COSMORAMA";1;1;1;1;2;-;-;3;3;1;1;-;14
"351300 COTIA";73;66;89;93;84;106;87;91;95;77;67;87;1015
"351310 CRAVINHOS";7;5;4;6;5;10;10;7;5;6;4;6;75
"351320 CRISTAIS PAULISTA";2;1;1;1;1;-;-;-;1;2;1;-;10
"351330 CRUZALIA";-;-;-;1;-;1;2;-;-;1;-;-;5
"351340 CRUZEIRO";25;32;30;34;35;34;26;22;28;26;24;20;336
"351350 CUBATAO";39;24;43;39;30;43;28;39;26;30;25;27;393
"351360 CUNHA";6;5;9;4;10;8;10;4;4;6;6;8;80
"351370 DESCALVADO";2;8;11;9;5;14;13;11;6;8;15;9;111
"351380 DIADEMA";113;85;115;111;111;130;132;110;105;124;92;125;1353
"351385 DIRCE REIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"351390 DIVINOLANDIA";5;4;8;5;2;4;4;7;6;6;4;2;57
"351400 DOBRADA";-;-;-;3;-;1;1;1;-;-;-;2;8
"351410 DOIS CORREGOS";5;9;9;6;9;13;6;9;7;3;10;13;99
"351420 DOLCINOPOLIS";-;-;-;-;2;1;-;-;-;-;-;-;3
