 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e M�s do �bito
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2010
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";19;20;14;18;21;24;16;23;27;24;12;19;237
"350020 ADOLFO";1;1;-;-;1;1;-;1;-;1;2;1;9
"350030 AGUAI";12;14;12;12;11;8;16;5;11;14;10;10;135
"350040 AGUAS DA PRATA";-;2;1;-;2;4;-;-;1;-;2;-;12
"350050 AGUAS DE LINDOIA";10;8;15;10;8;8;14;8;16;13;11;14;135
"350055 AGUAS DE SANTA BARBARA";1;-;-;1;-;1;2;1;-;-;2;2;10
"350060 AGUAS DE SAO PEDRO";1;-;1;-;1;1;2;1;1;1;1;2;12
"350070 AGUDOS";7;2;11;13;8;4;11;16;11;7;6;5;101
"350075 ALAMBARI";1;-;3;-;-;-;1;1;-;2;-;-;8
"350080 ALFREDO MARCONDES";1;-;-;-;-;1;-;-;1;-;-;-;3
"350090 ALTAIR";-;2;-;1;1;-;2;-;-;1;2;-;9
"350100 ALTINOPOLIS";3;3;1;6;4;3;2;4;4;6;2;6;44
"350110 ALTO ALEGRE";1;2;-;1;2;2;1;-;-;-;1;1;11
"350115 ALUMINIO";1;2;3;2;4;4;2;4;2;5;1;1;31
"350120 ALVARES FLORENCE";-;-;5;1;1;-;-;1;1;-;-;1;10
"350130 ALVARES MACHADO";2;1;2;2;2;1;1;3;1;2;4;2;23
"350140 ALVARO DE CARVALHO";1;-;1;-;-;-;1;-;-;1;1;-;5
"350150 ALVINLANDIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"350160 AMERICANA";79;78;71;64;79;75;92;82;90;92;71;85;958
"350170 AMERICO BRASILIENSE";11;16;17;17;19;17;16;19;21;27;23;17;220
"350180 AMERICO DE CAMPOS";-;-;1;-;-;2;1;1;2;1;-;-;8
"350190 AMPARO";21;22;20;28;24;36;31;29;27;26;32;37;333
"350200 ANALANDIA";-;-;-;1;-;-;1;1;2;1;-;-;6
"350210 ANDRADINA";26;28;34;26;32;27;27;24;28;27;19;20;318
"350220 ANGATUBA";8;13;7;6;7;15;14;7;5;9;6;5;102
"350230 ANHEMBI";-;2;1;1;1;-;1;2;3;1;1;-;13
"350240 ANHUMAS";-;-;-;-;-;-;1;-;-;-;1;1;3
"350250 APARECIDA";12;13;15;17;17;11;22;11;15;14;12;16;175
"350260 APARECIDA D'OESTE";2;2;1;2;2;1;4;1;1;1;2;3;22
"350270 APIAI";7;7;6;6;8;8;10;6;6;6;6;15;91
"350275 ARACARIGUAMA";1;2;4;1;9;3;4;2;-;6;3;4;39
"350280 ARACATUBA";94;96;103;121;96;98;91;110;100;88;84;88;1169
"350290 ARACOIABA DA SERRA";5;4;4;3;12;10;5;8;4;2;3;2;62
"350300 ARAMINA";-;-;-;-;-;2;1;-;2;1;2;-;8
"350310 ARANDU";2;3;6;2;2;3;4;2;1;-;-;2;27
"350315 ARAPEI";-;-;-;-;3;-;-;-;-;-;1;2;6
