 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e M�s do �bito
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2017
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";18;20;21;26;24;25;31;30;28;35;36;23;317
"350020 ADOLFO";2;-;1;-;5;-;-;-;1;-;-;-;9
"350030 AGUAI";4;4;1;2;2;2;2;4;2;3;2;3;31
"350040 AGUAS DA PRATA";-;1;-;1;1;2;-;1;-;2;1;3;12
"350050 AGUAS DE LINDOIA";17;10;16;15;11;13;17;14;11;9;6;10;149
"350055 AGUAS DE SANTA BARBARA";1;-;-;-;-;2;-;-;-;-;1;-;4
"350060 AGUAS DE SAO PEDRO";1;-;1;2;-;1;3;-;-;-;-;3;11
"350070 AGUDOS";14;10;8;5;8;8;11;7;5;6;5;8;95
"350075 ALAMBARI";-;-;1;-;-;-;-;-;-;1;-;-;2
"350080 ALFREDO MARCONDES";-;1;1;-;-;3;-;-;-;-;-;-;5
"350090 ALTAIR";2;-;-;-;1;2;-;1;-;2;1;-;9
"350100 ALTINOPOLIS";5;4;2;5;4;6;6;5;5;6;7;8;63
"350110 ALTO ALEGRE";1;1;1;-;2;1;-;-;-;-;1;1;8
"350115 ALUMINIO";2;3;2;2;2;3;2;2;3;5;1;5;32
"350120 ALVARES FLORENCE";1;-;-;-;1;-;-;-;-;1;-;-;3
"350130 ALVARES MACHADO";3;6;4;1;3;2;2;4;6;-;5;5;41
"350140 ALVARO DE CARVALHO";-;-;-;-;-;1;-;-;-;-;-;-;1
"350150 ALVINLANDIA";1;-;-;1;-;-;-;-;-;-;-;-;2
"350160 AMERICANA";68;45;70;60;88;67;100;82;67;72;68;78;865
"350170 AMERICO BRASILIENSE";21;11;16;23;21;23;17;16;18;15;11;20;212
"350180 AMERICO DE CAMPOS";1;1;1;-;-;-;3;-;1;5;1;1;14
"350190 AMPARO";40;18;31;37;43;43;44;37;36;49;27;30;435
"350200 ANALANDIA";2;1;1;-;-;1;1;1;1;3;-;-;11
"350210 ANDRADINA";24;30;29;36;31;29;42;34;40;37;25;24;381
"350220 ANGATUBA";1;3;5;5;6;6;10;4;8;4;8;8;68
"350230 ANHEMBI";-;-;-;-;2;1;3;1;-;3;1;-;11
"350250 APARECIDA";12;16;13;18;10;27;20;18;17;26;19;14;210
"350260 APARECIDA D'OESTE";-;1;-;1;2;1;2;2;4;-;3;-;16
"350270 APIAI";13;18;15;12;16;14;14;18;14;6;16;15;171
"350275 ARACARIGUAMA";4;1;3;10;5;7;2;3;4;8;2;3;52
"350280 ARACATUBA";90;87;92;92;113;109;125;103;99;80;87;87;1164
"350290 ARACOIABA DA SERRA";5;4;8;2;5;7;7;4;6;7;4;2;61
"350300 ARAMINA";-;-;2;3;1;-;-;1;1;-;1;-;9
"350310 ARANDU";1;2;2;1;-;2;1;2;-;-;-;2;13
"350315 ARAPEI";-;2;2;-;-;1;-;-;-;1;-;-;6
"350320 ARARAQUARA";103;75;97;88;114;94;120;122;96;126;77;97;1209
"350330 ARARAS";39;38;48;53;55;46;59;55;44;40;43;45;565
"350335 ARCO-IRIS";-;-;-;1;-;-;1;-;-;-;-;-;2
"350340 AREALVA";3;3;1;1;3;-;-;3;3;1;1;1;20
"350350 AREIAS";1;2;1;2;-;2;1;-;1;4;1;3;18
"350360 AREIOPOLIS";2;3;-;2;1;1;3;-;-;1;-;-;13
"350370 ARIRANHA";1;-;-;-;1;3;2;1;2;2;2;3;17
"350380 ARTUR NOGUEIRA";9;8;8;3;11;10;10;13;12;13;8;6;111
"350390 ARUJA";18;16;14;27;21;10;21;21;21;30;22;20;241
"350395 ASPASIA";1;-;1;1;-;-;-;-;-;-;-;-;3
"350400 ASSIS";60;42;40;41;47;62;54;45;48;48;47;58;592
"350410 ATIBAIA";46;52;64;54;60;77;65;57;71;56;48;55;705
"350420 AURIFLAMA";3;3;8;7;6;8;6;4;9;7;5;4;70
