 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e M�s do �bito
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2014
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";19;19;17;16;23;25;17;22;23;33;17;17;248
"350020 ADOLFO";-;-;-;-;1;1;1;-;1;1;1;-;6
"350030 AGUAI";6;-;5;2;5;5;6;3;1;8;-;3;44
"350040 AGUAS DA PRATA";3;-;1;-;-;-;1;-;2;-;-;1;8
"350050 AGUAS DE LINDOIA";8;7;4;7;10;6;7;11;8;6;13;11;98
"350055 AGUAS DE SANTA BARBARA";-;1;2;-;-;-;-;-;-;-;-;-;3
"350060 AGUAS DE SAO PEDRO";-;-;-;1;1;1;2;1;-;-;1;-;7
"350070 AGUDOS";5;8;7;5;4;4;6;7;4;6;4;6;66
"350075 ALAMBARI";3;-;-;1;1;1;-;1;-;-;-;-;7
"350080 ALFREDO MARCONDES";-;1;-;-;-;-;-;-;-;-;1;1;3
"350090 ALTAIR";1;2;1;-;1;-;1;3;-;-;2;2;13
"350100 ALTINOPOLIS";7;4;5;-;3;5;6;9;7;2;3;3;54
"350110 ALTO ALEGRE";1;-;-;1;-;-;-;1;1;1;-;-;5
"350115 ALUMINIO";4;3;5;2;3;3;6;2;2;2;1;3;36
"350120 ALVARES FLORENCE";-;1;-;-;-;-;-;2;1;2;-;-;6
"350130 ALVARES MACHADO";5;3;1;2;8;4;4;4;2;3;2;3;41
"350140 ALVARO DE CARVALHO";-;1;-;1;-;1;1;-;-;-;-;-;4
"350150 ALVINLANDIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"350160 AMERICANA";102;90;69;70;84;98;72;87;83;84;59;69;967
"350170 AMERICO BRASILIENSE";15;14;13;19;13;17;21;17;13;19;19;22;202
"350180 AMERICO DE CAMPOS";1;1;2;-;-;1;3;-;2;-;-;-;10
"350190 AMPARO";27;25;27;22;25;29;29;30;25;31;28;25;323
"350200 ANALANDIA";-;1;-;-;-;-;1;-;1;1;-;-;4
"350210 ANDRADINA";33;31;28;33;33;38;33;35;26;51;22;32;395
"350220 ANGATUBA";9;6;11;7;13;6;12;8;7;3;11;4;97
"350230 ANHEMBI";-;-;-;1;1;2;-;3;-;-;3;3;13
"350240 ANHUMAS";-;-;1;1;-;-;-;1;-;-;-;-;3
"350250 APARECIDA";19;18;16;17;19;13;25;18;11;17;17;17;207
"350260 APARECIDA D'OESTE";2;2;-;3;2;2;1;3;-;-;2;1;18
"350270 APIAI";15;8;6;12;13;8;7;14;6;12;9;7;117
"350275 ARACARIGUAMA";4;5;3;-;2;5;3;1;2;3;5;9;42
"350280 ARACATUBA";80;96;98;91;101;107;121;103;102;118;94;107;1218
"350290 ARACOIABA DA SERRA";3;4;2;2;6;-;2;1;4;4;1;6;35
"350300 ARAMINA";-;2;-;-;6;1;-;1;-;1;-;-;11
"350310 ARANDU";2;-;2;-;2;1;1;2;1;1;-;-;12
"350315 ARAPEI";1;-;1;1;1;1;2;1;-;-;-;-;8
"350320 ARARAQUARA";89;92;104;97;122;106;104;115;93;118;94;81;1215
"350330 ARARAS";54;52;34;43;46;50;46;42;52;44;26;42;531
"350335 ARCO-IRIS";1;-;-;1;-;-;-;-;-;-;-;-;2
"350340 AREALVA";5;3;2;3;1;4;6;-;1;2;1;2;30
"350350 AREIAS";4;3;1;-;-;-;1;2;2;5;1;1;20
"350360 AREIOPOLIS";1;1;-;3;-;-;-;-;3;2;3;-;13
"350370 ARIRANHA";-;-;1;2;2;1;-;1;1;1;1;2;12
"350380 ARTUR NOGUEIRA";4;7;11;7;8;11;5;5;8;2;2;4;74
"350390 ARUJA";19;17;19;26;27;22;18;24;24;18;20;18;252
"350395 ASPASIA";2;-;-;-;-;-;-;-;-;2;2;-;6
"350400 ASSIS";32;55;32;57;62;47;58;53;50;66;57;64;633
"350410 ATIBAIA";52;55;49;55;75;68;56;66;52;62;37;54;681
"350420 AURIFLAMA";5;5;2;13;7;2;5;7;8;4;4;5;67
"350430 AVAI";1;1;-;-;-;-;-;1;-;1;-;-;4
"350440 AVANHANDAVA";-;-;-;-;3;1;-;-;1;2;-;-;7
"350450 AVARE";36;27;37;29;34;26;28;39;34;26;30;35;381
"350460 BADY BASSITT";2;3;1;2;2;3;2;-;-;-;1;1;17
"350480 BALSAMO";1;1;3;2;1;1;-;1;-;2;-;-;12
"350490 BANANAL";2;4;3;2;4;1;-;2;2;3;2;2;27
"350500 BARAO DE ANTONINA";3;-;-;-;-;-;-;-;-;-;-;-;3
"350510 BARBOSA";-;-;-;-;1;-;1;4;-;1;1;1;9
"350520 BARIRI";11;15;16;24;18;20;13;19;11;17;8;18;190
"350530 BARRA BONITA";14;20;21;23;14;20;16;33;16;14;11;27;229
"350535 BARRA DO CHAPEU";-;-;-;-;1;-;1;4;-;1;1;3;11
"350540 BARRA DO TURVO";4;2;2;2;1;1;3;1;2;2;4;1;25
"350550 BARRETOS";78;79;73;59;90;79;84;96;80;113;86;72;989
"350560 BARRINHA";2;3;3;-;5;5;6;1;4;2;4;-;35
"350570 BARUERI";83;97;93;98;125;118;73;111;99;88;99;105;1189
"350580 BASTOS";2;10;4;4;5;2;7;2;1;7;1;4;49
"350590 BATATAIS";19;24;27;23;23;26;25;30;21;28;23;27;296
"350600 BAURU";175;204;172;153;209;222;204;218;202;214;154;186;2313
"350610 BEBEDOURO";34;39;43;19;34;35;40;35;45;50;25;25;424
"350630 BERNARDINO DE CAMPOS";5;4;2;8;4;7;7;5;5;5;1;6;59
"350635 BERTIOGA";19;13;21;26;17;22;14;19;10;6;15;23;205
"350640 BILAC";2;4;5;-;1;2;2;4;4;1;4;3;32
"350650 BIRIGUI";33;34;30;19;30;30;43;26;32;30;21;33;361
"350660 BIRITIBA-MIRIM";4;3;7;-;2;5;5;5;2;6;8;6;53
"350670 BOA ESPERANCA DO SUL";4;2;-;2;1;2;2;5;4;3;-;6;31
"350680 BOCAINA";1;2;-;1;4;5;-;1;2;3;2;4;25
"350690 BOFETE";1;4;2;2;1;4;3;2;2;1;-;2;24
"350700 BOITUVA";13;18;16;9;13;13;22;12;9;10;9;11;155
"350710 BOM JESUS DOS PERDOES";4;-;3;2;4;5;8;4;6;4;5;4;49
"350715 BOM SUCESSO DE ITARARE";-;1;1;1;-;-;-;-;1;-;1;1;6
"350730 BORACEIA";-;-;1;1;-;-;-;2;1;1;1;-;7
