 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e M�s do �bito
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2013
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350190 AMPARO";33;22;21;33;38;29;28;48;26;32;31;33;374
"350200 ANALANDIA";-;1;1;1;3;-;2;-;2;1;1;-;12
"350210 ANDRADINA";11;33;27;29;24;26;37;36;30;28;25;33;339
"350220 ANGATUBA";9;10;4;4;6;6;6;10;3;7;7;5;77
"350230 ANHEMBI";1;1;1;2;3;2;2;-;1;3;3;2;21
"350240 ANHUMAS";1;-;-;-;-;1;1;1;-;1;1;-;6
"350250 APARECIDA";16;16;9;17;18;21;20;20;25;15;15;19;211
"350260 APARECIDA D'OESTE";1;-;1;1;1;4;-;3;4;-;1;-;16
"350270 APIAI";7;10;10;13;21;12;14;9;15;11;8;12;142
"350275 ARACARIGUAMA";3;5;7;4;3;4;1;3;-;3;8;6;47
"350280 ARACATUBA";89;77;79;95;105;97;101;95;97;104;68;96;1103
"350290 ARACOIABA DA SERRA";3;11;5;1;3;1;3;3;5;7;3;4;49
"350300 ARAMINA";-;-;1;1;-;1;-;1;-;-;3;-;7
"350310 ARANDU";-;-;3;3;1;5;4;-;5;-;1;1;23
"350315 ARAPEI";1;-;1;1;1;-;2;-;-;-;1;-;7
"350320 ARARAQUARA";95;92;99;86;119;116;116;109;95;108;88;90;1213
"350330 ARARAS";36;46;43;34;63;56;55;36;39;50;52;39;549
"350335 ARCO-IRIS";-;-;-;-;-;-;1;-;1;-;-;-;2
"350340 AREALVA";1;4;5;4;2;1;1;5;5;3;2;2;35
"350350 AREIAS";1;-;-;3;-;1;3;1;-;-;3;2;14
"350360 AREIOPOLIS";2;1;-;2;-;1;3;1;2;2;-;2;16
"350370 ARIRANHA";-;1;1;-;-;-;1;2;-;3;2;-;10
"350380 ARTUR NOGUEIRA";3;2;11;7;2;5;10;8;1;8;9;5;71
"350390 ARUJA";17;23;21;17;19;21;20;20;21;13;18;17;227
"350395 ASPASIA";-;-;-;-;1;-;-;1;-;-;-;-;2
"350400 ASSIS";45;43;62;46;49;43;74;51;57;51;48;46;615
"350410 ATIBAIA";48;38;44;54;58;56;53;59;44;46;59;55;614
"350420 AURIFLAMA";2;6;5;4;10;8;6;2;9;6;1;6;65
"350430 AVAI";-;3;-;3;-;-;-;1;-;1;1;1;10
"350440 AVANHANDAVA";-;3;-;-;-;3;1;1;3;1;1;-;13
"350450 AVARE";32;32;37;25;34;50;37;27;31;31;30;32;398
"350460 BADY BASSITT";-;2;5;1;3;-;3;1;3;1;3;3;25
"350470 BALBINOS";1;-;-;-;-;-;1;-;-;-;-;-;2
"350480 BALSAMO";2;-;1;3;2;2;1;-;3;1;1;1;17
"350490 BANANAL";1;1;1;4;1;3;2;2;2;-;2;3;22
"350500 BARAO DE ANTONINA";-;-;-;-;-;1;-;-;-;-;1;-;2
"350510 BARBOSA";1;-;-;-;-;-;-;-;-;1;1;1;4
"350520 BARIRI";20;6;14;15;13;17;19;13;10;10;5;11;153
"350530 BARRA BONITA";18;18;16;11;18;23;24;12;17;14;14;16;201
"350535 BARRA DO CHAPEU";-;-;-;-;-;-;-;-;-;1;-;-;1
"350540 BARRA DO TURVO";3;3;2;-;5;2;3;8;5;2;2;3;38
"350550 BARRETOS";83;74;76;61;88;81;101;88;69;97;84;84;986
"350560 BARRINHA";5;6;6;3;2;4;4;5;7;8;2;2;54
"350570 BARUERI";82;75;89;109;111;105;108;115;81;93;81;91;1140
"350580 BASTOS";3;2;-;4;4;3;1;4;1;3;6;6;37
"350590 BATATAIS";13;18;24;29;30;25;24;24;21;19;17;17;261
"350600 BAURU";161;156;212;170;190;193;234;212;185;190;165;163;2231
"350610 BEBEDOURO";31;25;30;20;48;40;32;45;52;33;32;39;427
"350630 BERNARDINO DE CAMPOS";7;2;2;5;3;5;10;12;3;9;11;6;75
"350635 BERTIOGA";25;17;11;16;20;13;14;9;19;19;21;18;202
"350640 BILAC";1;3;2;2;2;4;2;1;5;2;1;2;27
"350650 BIRIGUI";24;29;21;30;32;42;26;33;29;21;24;25;336
"350660 BIRITIBA-MIRIM";3;5;3;4;2;4;5;2;6;3;1;2;40
"350670 BOA ESPERANCA DO SUL";7;1;2;4;3;3;7;5;5;3;3;4;47
"350680 BOCAINA";2;1;3;2;2;4;6;1;2;1;4;2;30
"350690 BOFETE";3;1;-;1;-;2;1;3;6;1;2;5;25
"350700 BOITUVA";13;8;6;4;11;7;20;19;13;10;14;11;136
"350710 BOM JESUS DOS PERDOES";2;4;6;7;7;5;5;5;3;8;2;3;57
"350715 BOM SUCESSO DE ITARARE";-;-;-;-;-;-;1;-;-;-;1;-;2
"350730 BORACEIA";1;-;-;-;-;-;1;1;-;-;-;-;3
"350740 BORBOREMA";2;4;5;4;7;3;6;2;2;5;6;6;52
"350745 BOREBI";-;-;-;-;-;-;-;-;-;-;-;1;1
"350750 BOTUCATU";74;74;83;92;92;99;107;97;93;103;78;85;1077
"350760 BRAGANCA PAULISTA";77;84;106;92;112;105;100;104;94;81;88;93;1136
"350770 BRAUNA";-;-;-;-;-;-;-;-;-;1;1;-;2
"350775 BREJO ALEGRE";-;-;-;1;-;-;-;-;-;-;-;-;1
"350780 BRODOWSKI";3;2;3;2;1;-;5;1;1;2;1;2;23
"350790 BROTAS";3;3;4;6;5;10;8;5;3;5;2;7;61
"350800 BURI";1;3;5;4;8;4;3;6;5;6;5;8;58
"350810 BURITAMA";11;6;4;2;4;7;6;9;3;4;3;5;64
"350820 BURITIZAL";-;-;-;-;-;1;1;1;-;-;-;1;4
"350830 CABRALIA PAULISTA";1;-;-;-;-;-;1;1;-;-;-;1;4
"350840 CABREUVA";6;6;7;7;8;6;7;8;8;6;12;7;88
"350850 CACAPAVA";13;20;19;25;17;21;37;14;18;12;17;21;234
"350860 CACHOEIRA PAULISTA";13;8;7;5;8;5;10;7;10;7;7;6;93
"350870 CACONDE";6;5;7;2;2;9;2;4;8;6;6;5;62
"350880 CAFELANDIA";6;8;2;9;3;5;4;4;3;4;7;5;60
"350890 CAIABU";-;-;-;-;1;-;1;-;1;-;1;-;4
"350900 CAIEIRAS";20;23;24;15;31;22;31;16;19;23;19;17;260
"350910 CAIUA";1;-;1;2;-;-;-;-;-;-;1;-;5
"350920 CAJAMAR";8;10;13;12;13;22;16;18;9;15;11;13;160
"350925 CAJATI";7;7;4;6;7;5;5;8;6;2;4;6;67
"350930 CAJOBI";1;1;2;-;1;2;3;2;2;5;2;2;23
"350940 CAJURU";8;8;6;7;12;9;6;8;11;5;6;9;95
"350945 CAMPINA DO MONTE ALEGRE";-;2;-;1;-;1;-;1;1;1;-;1;8
"350950 CAMPINAS";433;392;451;423;523;483;538;507;459;473;420;444;5546
"350960 CAMPO LIMPO PAULISTA";11;13;19;18;16;23;16;20;17;10;21;13;197
"350970 CAMPOS DO JORDAO";14;24;17;21;18;31;31;31;19;11;12;15;244
"350980 CAMPOS NOVOS PAULISTA";1;-;1;-;-;3;-;2;3;-;-;1;11
"350990 CANANEIA";1;3;1;2;1;2;4;1;2;3;-;3;23
"350995 CANAS";1;3;-;-;2;-;-;-;-;-;-;1;7
"351000 CANDIDO MOTA";10;12;8;9;9;9;12;7;12;12;7;11;118
"351010 CANDIDO RODRIGUES";-;-;-;1;-;-;-;-;-;1;1;-;3
"351015 CANITAR";-;1;2;-;1;-;-;1;1;-;-;-;6
"351020 CAPAO BONITO";25;15;30;16;14;16;20;26;26;20;15;27;250
"351030 CAPELA DO ALTO";1;5;2;-;6;2;2;2;2;4;3;4;33
"351040 CAPIVARI";20;10;14;20;33;33;27;22;24;20;19;21;263
"351050 CARAGUATATUBA";32;33;24;33;29;28;28;43;28;43;24;61;406
"351060 CARAPICUIBA";88;71;82;85;99;86;87;98;90;77;83;95;1041
"351070 CARDOSO";2;3;-;3;2;1;2;1;2;3;1;2;22
"351080 CASA BRANCA";6;14;12;8;8;16;18;12;13;17;6;12;142
"351090 CASSIA DOS COQUEIROS";-;-;-;1;-;1;-;-;-;-;-;-;2
"351100 CASTILHO";2;2;2;5;3;6;2;6;6;3;3;3;43
"351110 CATANDUVA";99;79;99;80;119;93;117;97;107;100;65;112;1167
"351120 CATIGUA";-;1;-;1;1;-;-;1;1;2;1;-;8
"351130 CEDRAL";-;-;1;-;-;-;1;2;2;4;1;2;13
"351140 CERQUEIRA CESAR";10;2;7;4;8;10;11;4;9;3;9;10;87
"351150 CERQUILHO";13;3;10;14;9;9;13;14;9;13;8;12;127
"351160 CESARIO LANGE";1;4;6;7;4;1;4;6;6;2;2;5;48
"351170 CHARQUEADA";2;1;8;2;5;3;2;1;5;4;3;6;42
"351190 CLEMENTINA";2;1;-;3;3;1;-;-;1;-;-;-;11
"351200 COLINA";2;3;3;4;4;5;6;5;3;3;3;5;46
"351210 COLOMBIA";4;4;1;-;1;1;2;1;1;1;-;1;17
"351220 CONCHAL";4;5;5;4;7;4;7;8;7;8;5;9;73
"351230 CONCHAS";4;7;5;10;5;7;7;8;15;9;8;10;95
"351240 CORDEIROPOLIS";3;1;4;6;5;3;4;2;-;1;-;2;31
"351250 COROADOS";-;-;-;1;1;1;1;-;-;-;-;1;5
"351260 CORONEL MACEDO";-;1;2;-;-;1;-;1;1;-;-;-;6
"351270 CORUMBATAI";1;-;-;-;-;-;-;-;-;-;-;1;2
"351280 COSMOPOLIS";13;10;11;17;21;14;23;21;18;15;14;2;179
"351290 COSMORAMA";3;3;1;1;1;4;-;2;-;1;-;1;17
"351300 COTIA";55;75;59;60;63;76;88;76;74;60;68;65;819
"351310 CRAVINHOS";2;1;4;2;2;6;9;4;8;4;1;3;46
"351320 CRISTAIS PAULISTA";1;-;2;1;-;5;-;-;-;1;1;2;13
"351330 CRUZALIA";-;-;-;-;-;1;-;-;-;-;1;-;2
"351340 CRUZEIRO";38;30;43;46;42;42;43;44;41;31;41;30;471
"351350 CUBATAO";29;36;44;31;45;37;28;28;39;33;43;34;427
"351360 CUNHA";9;5;5;8;3;8;5;10;8;6;3;19;89
"351370 DESCALVADO";14;13;10;5;16;21;10;14;13;14;6;11;147
"351380 DIADEMA";117;114;90;110;131;113;124;134;101;94;93;100;1321
"351385 DIRCE REIS";-;-;1;-;1;-;-;-;1;-;-;-;3
"351390 DIVINOLANDIA";5;6;4;3;10;2;8;5;9;5;7;3;67
"351400 DOBRADA";-;-;-;1;1;-;1;-;1;-;1;1;6
"351410 DOIS CORREGOS";7;6;8;5;6;9;8;10;7;5;6;10;87
"351420 DOLCINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;1
"351430 DOURADO";2;-;2;2;1;2;2;2;1;1;1;3;19
"351440 DRACENA";24;18;25;23;38;27;22;32;34;28;24;26;321
"351450 DUARTINA";8;3;6;2;3;-;3;10;5;5;5;6;56
"351460 DUMONT";-;-;2;4;1;-;2;-;1;1;-;1;12
"351470 ECHAPORA";1;-;1;1;-;1;3;1;-;2;3;1;14
"351480 ELDORADO";3;1;5;2;-;3;4;3;2;4;5;4;36
"351490 ELIAS FAUSTO";-;3;2;3;1;5;-;2;1;1;-;4;22
"351492 ELISIARIO";-;-;-;-;1;-;2;-;-;2;-;-;5
"351495 EMBAUBA";-;1;1;-;-;-;-;2;-;1;2;-;7
"351500 EMBU DAS ARTES";37;46;43;59;50;40;61;64;42;50;58;59;609
"351510 EMBU-GUACU";22;14;19;12;13;12;19;18;14;10;11;16;180
"351512 EMILIANOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"351515 ENGENHEIRO COELHO";-;3;1;3;-;-;1;1;3;-;1;1;14
"351518 ESPIRITO SANTO DO PINHAL";16;11;21;25;15;22;22;15;18;19;20;21;225
"351519 ESPIRITO SANTO DO TURVO";-;-;-;-;2;-;-;1;-;-;-;-;3
"351520 ESTRELA D'OESTE";3;2;2;1;-;1;1;-;2;2;2;-;16
"351530 ESTRELA DO NORTE";-;-;1;-;-;-;1;-;1;-;-;-;3
"351535 EUCLIDES DA CUNHA PAULISTA";-;-;1;-;-;1;1;1;-;-;1;4;9
"351540 FARTURA";5;4;3;1;2;5;7;6;6;5;8;5;57
"351550 FERNANDOPOLIS";28;32;32;37;45;44;34;40;32;34;24;41;423
"351560 FERNANDO PRESTES";-;1;1;-;1;-;1;-;1;1;-;-;6
"351565 FERNAO";-;-;-;1;-;-;-;-;-;-;1;-;2
"351570 FERRAZ DE VASCONCELOS";37;33;33;47;30;43;41;52;30;45;36;28;455
