ano,id_municipio,sigla_uf,cargo,sigla_partido
2012,3530607,SP,prefeito,PSD
2012,3530904,SP,prefeito,PR
2012,3532207,SP,prefeito,PSDB
2012,3533700,SP,prefeito,PSDB
2012,3540408,SP,prefeito,PMDB
2012,3543105,SP,prefeito,PT
2012,3543253,SP,prefeito,PSDB
2012,3546801,SP,prefeito,PV
2012,3547403,SP,prefeito,PSDB
2012,3548054,SP,prefeito,PT
2012,3551108,SP,prefeito,PSDB
2012,3552502,SP,prefeito,PSDB
2012,3556404,SP,prefeito,PTB
2012,3513801,SP,prefeito,PV
2016,3501707,SP,prefeito,PSDB
2016,3506508,SP,prefeito,PTB
2016,3507001,SP,prefeito,PSDB
2016,3508108,SP,prefeito,REPUBLICANOS
2016,3518909,SP,prefeito,PSDB
2016,3520806,SP,prefeito,PSDB
2016,3521309,SP,prefeito,MDB
2016,3522604,SP,prefeito,PSDB
2016,3523602,SP,prefeito,MDB
2016,3526605,SP,prefeito,PTB
2016,3527256,SP,prefeito,DEM
2016,3529807,SP,prefeito,PSDB
2016,3533007,SP,prefeito,PSB
2016,3538303,SP,prefeito,MDB
2016,3538907,SP,prefeito,PTB
2016,3540309,SP,prefeito,MDB
2016,3548104,SP,prefeito,PSD
2016,3553609,SP,prefeito,CIDADANIA
2016,3555802,SP,prefeito,PSDB
2016,3557154,SP,prefeito,PDT
2016,3547809,SP,prefeito,PSDB
2020,3500105,SP,prefeito,DEM
2020,3502101,SP,prefeito,PSDB
2020,3502804,SP,prefeito,PSDB
2020,3504305,SP,prefeito,PSDB
2020,3505302,SP,prefeito,MDB
2020,3511607,SP,prefeito,PSDB
2020,3513603,SP,prefeito,PSDB
2020,3514304,SP,prefeito,PL
2020,3516853,SP,prefeito,PTB
2020,3519600,SP,prefeito,MDB
2020,3520806,SP,prefeito,PSDB
2020,3522703,SP,prefeito,PP
2020,3522901,SP,prefeito,PTB
2020,3530102,SP,prefeito,PSL
2020,3533304,SP,prefeito,PTB
2020,3534757,SP,prefeito,PP
2020,3536109,SP,prefeito,CIDADANIA
2020,3538501,SP,prefeito,PSDB
2020,3540705,SP,prefeito,PSD
2020,3543006,SP,prefeito,PP
2020,3548005,SP,prefeito,DEM
2020,3548104,SP,prefeito,PSD
