 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2016
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";262;-;6;3;5;1;277
"350020 ADOLFO";-;3;4;1;1;-;9
"350030 AGUAI";-;14;10;9;2;-;35
"350040 AGUAS DA PRATA";-;3;9;-;3;-;15
"350050 AGUAS DE LINDOIA";91;-;20;1;6;-;118
"350055 AGUAS DE SANTA BARBARA";-;-;1;2;2;-;5
"350060 AGUAS DE SAO PEDRO";1;-;4;-;-;-;5
"350070 AGUDOS";52;14;27;11;4;-;108
"350075 ALAMBARI";-;-;3;3;1;-;7
"350080 ALFREDO MARCONDES";-;-;-;1;1;-;2
"350090 ALTAIR";-;2;6;-;2;-;10
"350100 ALTINOPOLIS";46;-;10;4;2;-;62
"350110 ALTO ALEGRE";4;-;-;1;-;-;5
"350115 ALUMINIO";2;32;9;1;2;-;46
"350120 ALVARES FLORENCE";-;-;4;1;-;-;5
"350130 ALVARES MACHADO";20;-;17;8;3;-;48
"350140 ALVARO DE CARVALHO";-;-;1;-;-;-;1
"350150 ALVINLANDIA";-;-;4;-;1;-;5
"350160 AMERICANA";768;3;61;15;11;-;858
"350170 AMERICO BRASILIENSE";166;1;34;4;5;-;210
"350180 AMERICO DE CAMPOS";-;2;6;-;-;-;8
"350190 AMPARO";396;2;36;15;8;-;457
"350200 ANALANDIA";-;7;1;-;-;-;8
"350210 ANDRADINA";309;30;59;16;4;-;418
"350220 ANGATUBA";73;1;7;4;1;-;86
"350230 ANHEMBI";-;4;9;3;2;-;18
"350240 ANHUMAS";-;-;1;-;1;-;2
"350250 APARECIDA";135;48;20;13;20;-;236
"350260 APARECIDA D'OESTE";5;-;9;1;-;-;15
"350270 APIAI";115;-;39;3;7;-;164
"350275 ARACARIGUAMA";4;39;14;6;2;-;65
"350280 ARACATUBA";1123;13;85;31;15;-;1267
"350290 ARACOIABA DA SERRA";1;22;21;10;2;-;56
"350300 ARAMINA";-;2;7;-;-;-;9
"350310 ARANDU";12;-;3;-;1;-;16
"350315 ARAPEI";1;2;4;1;-;-;8
"350320 ARARAQUARA";891;45;229;41;73;-;1279
"350330 ARARAS";473;3;17;20;21;-;534
"350335 ARCO-IRIS";-;-;-;-;1;-;1
"350340 AREALVA";13;-;10;5;-;-;28
"350350 AREIAS";5;-;8;-;-;-;13
"350360 AREIOPOLIS";2;4;5;4;4;-;19
"350370 ARIRANHA";6;-;11;2;-;-;19
"350380 ARTUR NOGUEIRA";66;1;34;7;2;-;110
"350390 ARUJA";168;3;49;14;18;-;252
"350395 ASPASIA";-;-;2;2;-;-;4
"350400 ASSIS";556;-;34;17;4;-;611
"350410 ATIBAIA";456;13;150;28;21;-;668
"350420 AURIFLAMA";43;-;17;2;-;-;62
"350430 AVAI";-;-;6;-;-;-;6
"350440 AVANHANDAVA";-;2;5;-;1;-;8
"350450 AVARE";276;104;20;17;4;-;421
"350460 BADY BASSITT";-;6;11;6;2;-;25
"350470 BALBINOS";-;-;2;-;5;-;7
"350480 BALSAMO";-;8;3;3;-;-;14
"350490 BANANAL";11;1;10;1;-;-;23
"350500 BARAO DE ANTONINA";-;-;2;1;2;-;5
"350510 BARBOSA";-;2;3;2;-;-;7
"350520 BARIRI";137;-;44;1;1;-;183
"350530 BARRA BONITA";156;-;14;4;1;-;175
"350535 BARRA DO CHAPEU";-;-;6;2;4;-;12
"350540 BARRA DO TURVO";1;4;9;11;4;-;29
"350550 BARRETOS";993;1;108;17;22;1;1142
"350560 BARRINHA";-;23;18;5;1;-;47
"350570 BARUERI";446;715;93;29;20;-;1303
"350580 BASTOS";25;13;10;4;4;-;56
"350590 BATATAIS";202;19;41;12;10;-;284
"350600 BAURU";1582;264;318;59;47;-;2270
"350610 BEBEDOURO";391;5;72;13;9;1;491
"350630 BERNARDINO DE CAMPOS";50;-;5;1;2;-;58
"350635 BERTIOGA";84;-;25;41;67;-;217
"350640 BILAC";16;-;7;2;-;-;25
"350650 BIRIGUI";315;55;28;14;4;-;416
