 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2017
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";294;1;14;3;5;-;317
"350020 ADOLFO";-;5;3;-;1;-;9
"350030 AGUAI";-;11;11;5;4;-;31
"350040 AGUAS DA PRATA";-;2;7;1;2;-;12
"350050 AGUAS DE LINDOIA";124;-;12;7;6;-;149
"350055 AGUAS DE SANTA BARBARA";-;-;2;1;-;1;4
"350060 AGUAS DE SAO PEDRO";-;7;4;-;-;-;11
"350070 AGUDOS";44;20;25;5;1;-;95
"350075 ALAMBARI";-;-;2;-;-;-;2
"350080 ALFREDO MARCONDES";-;-;4;-;1;-;5
"350090 ALTAIR";-;1;5;1;2;-;9
"350100 ALTINOPOLIS";43;-;13;3;4;-;63
"350110 ALTO ALEGRE";2;-;4;2;-;-;8
"350115 ALUMINIO";3;19;5;2;3;-;32
"350120 ALVARES FLORENCE";-;-;3;-;-;-;3
"350130 ALVARES MACHADO";21;-;14;3;3;-;41
"350140 ALVARO DE CARVALHO";-;-;1;-;-;-;1
"350150 ALVINLANDIA";-;-;2;-;-;-;2
"350160 AMERICANA";739;1;94;14;17;-;865
"350170 AMERICO BRASILIENSE";187;1;19;3;2;-;212
"350180 AMERICO DE CAMPOS";-;1;10;3;-;-;14
"350190 AMPARO";371;5;41;12;6;-;435
"350200 ANALANDIA";-;6;2;1;2;-;11
"350210 ANDRADINA";277;31;54;11;8;-;381
"350220 ANGATUBA";61;-;3;3;1;-;68
"350230 ANHEMBI";-;1;3;4;3;-;11
"350250 APARECIDA";128;46;15;10;11;-;210
"350260 APARECIDA D'OESTE";10;-;6;-;-;-;16
"350270 APIAI";135;-;29;5;2;-;171
"350275 ARACARIGUAMA";2;35;5;10;-;-;52
"350280 ARACATUBA";1038;14;74;21;17;-;1164
"350290 ARACOIABA DA SERRA";-;31;15;10;5;-;61
"350300 ARAMINA";-;-;4;5;-;-;9
"350310 ARANDU";11;-;2;-;-;-;13
"350315 ARAPEI";1;1;4;-;-;-;6
"350320 ARARAQUARA";826;54;237;32;60;-;1209
"350330 ARARAS";487;1;42;19;16;-;565
"350335 ARCO-IRIS";-;-;2;-;-;-;2
"350340 AREALVA";16;-;3;-;1;-;20
"350350 AREIAS";2;1;12;1;2;-;18
"350360 AREIOPOLIS";1;1;7;-;4;-;13
"350370 ARIRANHA";1;-;13;-;3;-;17
"350380 ARTUR NOGUEIRA";84;-;18;8;1;-;111
"350390 ARUJA";159;2;55;17;8;-;241
"350395 ASPASIA";-;-;2;1;-;-;3
"350400 ASSIS";529;1;44;13;5;-;592
"350410 ATIBAIA";461;8;170;33;33;-;705
"350420 AURIFLAMA";54;-;14;-;2;-;70
"350430 AVAI";-;-;3;-;2;-;5
"350440 AVANHANDAVA";1;1;3;2;-;1;8
"350450 AVARE";251;97;25;10;5;-;388
"350460 BADY BASSITT";1;9;8;2;2;-;22
"350470 BALBINOS";-;-;2;-;4;-;6
"350480 BALSAMO";1;9;13;-;1;-;24
"350490 BANANAL";-;17;8;-;-;-;25
"350500 BARAO DE ANTONINA";-;-;2;-;-;-;2
