 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2019
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";305;-;9;2;6;-;322
"350020 ADOLFO";-;3;3;-;2;-;8
"350030 AGUAI";-;29;30;8;1;-;68
"350040 AGUAS DA PRATA";1;2;5;4;3;-;15
"350050 AGUAS DE LINDOIA";89;-;11;4;1;-;105
"350055 AGUAS DE SANTA BARBARA";2;2;6;3;4;-;17
"350060 AGUAS DE SAO PEDRO";-;11;7;-;-;-;18
"350070 AGUDOS";21;57;16;1;2;-;97
"350075 ALAMBARI";-;-;6;5;1;-;12
"350080 ALFREDO MARCONDES";-;-;4;3;-;-;7
"350090 ALTAIR";-;1;3;1;1;-;6
"350100 ALTINOPOLIS";49;-;6;3;2;-;60
"350110 ALTO ALEGRE";8;-;3;-;-;-;11
"350115 ALUMINIO";1;21;9;2;4;-;37
"350120 ALVARES FLORENCE";-;1;2;4;-;-;7
"350130 ALVARES MACHADO";22;-;21;3;2;-;48
"350140 ALVARO DE CARVALHO";-;1;3;1;-;-;5
"350150 ALVINLANDIA";-;-;1;1;-;-;2
"350160 AMERICANA";718;4;89;19;11;-;841
"350170 AMERICO BRASILIENSE";182;-;14;2;4;-;202
"350180 AMERICO DE CAMPOS";-;-;12;2;2;-;16
"350190 AMPARO";343;7;52;6;6;-;414
"350200 ANALANDIA";1;2;2;-;-;-;5
"350210 ANDRADINA";277;67;49;12;4;-;409
"350220 ANGATUBA";56;-;4;5;1;-;66
"350230 ANHEMBI";-;2;12;1;2;-;17
"350240 ANHUMAS";-;-;1;-;-;-;1
"350250 APARECIDA";130;89;22;11;15;-;267
"350260 APARECIDA D'OESTE";14;-;5;2;-;-;21
"350270 APIAI";111;-;28;1;1;-;141
"350275 ARACARIGUAMA";1;17;9;5;2;-;34
"350280 ARACATUBA";1112;18;89;18;20;-;1257
"350290 ARACOIABA DA SERRA";1;28;12;5;3;-;49
"350300 ARAMINA";-;-;5;1;2;-;8
"350310 ARANDU";9;-;4;-;1;-;14
"350315 ARAPEI";2;1;5;-;1;-;9
"350320 ARARAQUARA";963;50;235;32;74;-;1354
"350330 ARARAS";408;2;112;21;5;-;548
"350335 ARCO-IRIS";-;-;1;-;-;-;1
"350340 AREALVA";27;-;7;2;-;-;36
"350350 AREIAS";-;1;3;-;9;3;16
"350360 AREIOPOLIS";4;4;9;2;1;-;20
"350370 ARIRANHA";3;3;7;-;8;-;21
"350380 ARTUR NOGUEIRA";77;-;42;2;4;-;125
"350390 ARUJA";150;8;60;10;24;-;252
"350395 ASPASIA";-;-;3;-;-;-;3
"350400 ASSIS";542;-;78;16;4;-;640
"350410 ATIBAIA";465;7;172;30;31;-;705
"350420 AURIFLAMA";47;-;8;1;5;-;61
"350430 AVAI";-;1;8;4;-;-;13
"350440 AVANHANDAVA";1;1;5;1;1;1;10
"350450 AVARE";347;150;35;14;7;1;554
"350460 BADY BASSITT";1;11;18;2;1;-;33
"350470 BALBINOS";-;-;1;-;2;-;3
"350480 BALSAMO";-;5;12;1;1;-;19
"350490 BANANAL";-;4;8;-;-;-;12
"350500 BARAO DE ANTONINA";-;1;6;-;-;-;7
"350510 BARBOSA";-;5;5;2;-;-;12
"350520 BARIRI";107;-;24;3;5;-;139
"350530 BARRA BONITA";132;-;21;4;3;-;160
"350535 BARRA DO CHAPEU";-;-;5;1;-;-;6
"350540 BARRA DO TURVO";2;2;8;7;2;-;21
"350550 BARRETOS";956;8;151;13;13;-;1141
"350560 BARRINHA";-;32;15;4;3;-;54
"350570 BARUERI";1042;221;113;20;27;-;1423
"350580 BASTOS";18;20;16;3;2;-;59
"350590 BATATAIS";199;19;62;9;7;-;296
"350600 BAURU";1553;328;356;55;64;2;2358
"350610 BEBEDOURO";278;5;42;15;3;1;344
"350620 BENTO DE ABREU";-;-;1;-;-;-;1
"350630 BERNARDINO DE CAMPOS";39;-;12;5;1;-;57
"350635 BERTIOGA";125;5;28;9;85;-;252
"350640 BILAC";22;-;3;-;-;-;25
"350650 BIRIGUI";354;61;28;9;3;-;455
"350660 BIRITIBA-MIRIM";4;6;16;6;3;-;35
"350670 BOA ESPERANCA DO SUL";31;-;7;6;6;-;50
"350680 BOCAINA";12;-;4;3;1;-;20
"350690 BOFETE";1;9;6;1;1;-;18
"350700 BOITUVA";129;-;22;4;6;-;161
"350710 BOM JESUS DOS PERDOES";6;21;20;4;4;-;55
"350715 BOM SUCESSO DE ITARARE";-;-;2;-;2;-;4
"350720 BORA";-;-;-;1;-;-;1
"350730 BORACEIA";-;1;6;-;-;-;7
"350740 BORBOREMA";32;17;9;4;2;-;64
"350745 BOREBI";-;-;-;1;-;-;1
"350750 BOTUCATU";1039;2;163;11;23;-;1238
"350760 BRAGANCA PAULISTA";983;6;223;20;23;-;1255
"350770 BRAUNA";-;-;3;-;-;5;8
"350775 BREJO ALEGRE";-;-;2;-;-;-;2
"350780 BRODOWSKI";-;23;24;3;1;-;51
"350790 BROTAS";52;-;5;3;8;-;68
"350800 BURI";2;10;18;2;1;-;33
"350810 BURITAMA";56;-;22;5;4;-;87
"350820 BURITIZAL";-;2;2;3;1;-;8
"350830 CABRALIA PAULISTA";-;-;1;1;-;-;2
"350840 CABREUVA";52;25;30;1;6;-;114
"350850 CACAPAVA";191;1;18;32;15;-;257
"350860 CACHOEIRA PAULISTA";49;1;7;12;4;-;73
"350870 CACONDE";52;1;18;4;1;-;76
"350880 CAFELANDIA";51;-;5;6;4;-;66
"350890 CAIABU";-;-;4;-;-;-;4
"350900 CAIEIRAS";112;84;34;13;10;-;253
"350910 CAIUA";-;-;2;-;2;-;4
"350920 CAJAMAR";152;18;37;20;6;-;233
"350925 CAJATI";16;-;27;12;4;-;59
"350930 CAJOBI";16;1;7;-;1;-;25
"350940 CAJURU";82;2;11;6;1;-;102
