 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";209;-;7;4;3;-;223
"350020 ADOLFO";-;3;5;-;2;-;10
"350030 AGUAI";71;13;24;9;8;-;125
"350040 AGUAS DA PRATA";-;-;3;-;3;-;6
"350050 AGUAS DE LINDOIA";63;-;26;4;5;-;98
"350055 AGUAS DE SANTA BARBARA";-;2;5;1;2;-;10
"350060 AGUAS DE SAO PEDRO";4;2;2;1;-;-;9
"350070 AGUDOS";63;1;12;13;3;-;92
"350075 ALAMBARI";-;-;3;3;-;-;6
"350080 ALFREDO MARCONDES";-;-;1;2;-;-;3
"350090 ALTAIR";-;1;1;-;-;-;2
"350100 ALTINOPOLIS";36;-;9;4;2;1;52
"350110 ALTO ALEGRE";5;-;2;6;1;-;14
"350115 ALUMINIO";10;8;8;3;3;-;32
"350120 ALVARES FLORENCE";-;1;-;2;-;-;3
"350130 ALVARES MACHADO";7;-;17;6;6;-;36
"350140 ALVARO DE CARVALHO";-;-;6;2;-;-;8
"350150 ALVINLANDIA";-;-;3;-;-;-;3
"350160 AMERICANA";871;8;68;25;12;-;984
"350170 AMERICO BRASILIENSE";180;-;11;4;5;-;200
"350180 AMERICO DE CAMPOS";-;-;6;3;2;-;11
"350190 AMPARO";237;5;64;16;15;-;337
"350200 ANALANDIA";-;3;3;3;-;-;9
"350210 ANDRADINA";241;12;21;8;5;-;287
"350220 ANGATUBA";58;-;7;16;4;-;85
"350230 ANHEMBI";-;3;4;2;5;-;14
"350240 ANHUMAS";-;-;1;-;-;-;1
"350250 APARECIDA";154;16;25;13;6;-;214
"350260 APARECIDA D'OESTE";12;-;8;-;1;-;21
"350270 APIAI";93;-;19;1;9;-;122
"350275 ARACARIGUAMA";1;8;6;17;10;1;43
"350280 ARACATUBA";955;11;53;25;10;-;1054
"350290 ARACOIABA DA SERRA";-;21;21;8;7;-;57
"350300 ARAMINA";-;-;7;-;-;-;7
"350310 ARANDU";9;-;-;-;-;-;9
"350315 ARAPEI";2;-;3;-;1;-;6
"350320 ARARAQUARA";929;35;197;54;22;-;1237
"350330 ARARAS";472;2;36;28;7;-;545
"350335 ARCO-IRIS";-;-;2;1;-;-;3
