 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2018
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";276;-;6;2;2;-;286
"350020 ADOLFO";3;4;4;-;2;-;13
"350030 AGUAI";-;20;14;9;4;-;47
"350040 AGUAS DA PRATA";-;1;16;3;1;-;21
"350050 AGUAS DE LINDOIA";106;-;17;6;2;-;131
"350055 AGUAS DE SANTA BARBARA";1;2;6;1;-;-;10
"350060 AGUAS DE SAO PEDRO";-;6;1;-;-;-;7
"350070 AGUDOS";21;50;19;4;4;-;98
"350075 ALAMBARI";-;-;4;-;1;-;5
"350080 ALFREDO MARCONDES";-;-;3;2;1;-;6
"350090 ALTAIR";-;5;2;1;-;-;8
"350100 ALTINOPOLIS";37;-;13;2;1;-;53
"350110 ALTO ALEGRE";7;-;2;-;-;-;9
"350115 ALUMINIO";-;15;8;-;1;-;24
"350120 ALVARES FLORENCE";-;-;6;-;1;-;7
"350130 ALVARES MACHADO";26;-;17;4;-;-;47
"350140 ALVARO DE CARVALHO";-;-;4;-;-;-;4
"350150 ALVINLANDIA";-;-;5;3;-;-;8
"350160 AMERICANA";708;3;144;14;19;-;888
"350170 AMERICO BRASILIENSE";161;1;17;3;2;-;184
"350180 AMERICO DE CAMPOS";-;1;8;3;-;-;12
"350190 AMPARO";359;1;38;11;15;-;424
"350200 ANALANDIA";-;6;1;2;-;-;9
"350210 ANDRADINA";313;29;43;15;5;-;405
"350220 ANGATUBA";79;-;6;1;2;-;88
"350230 ANHEMBI";1;3;6;1;3;-;14
"350240 ANHUMAS";-;-;4;-;-;-;4
"350250 APARECIDA";115;70;9;9;16;-;219
"350260 APARECIDA D'OESTE";7;-;3;-;-;-;10
"350270 APIAI";121;-;31;4;-;-;156
"350275 ARACARIGUAMA";2;27;7;16;4;-;56
"350280 ARACATUBA";1143;14;70;18;12;-;1257
"350290 ARACOIABA DA SERRA";4;40;14;4;5;-;67
"350300 ARAMINA";-;-;8;2;-;-;10
"350310 ARANDU";10;-;6;2;-;-;18
"350315 ARAPEI";1;1;1;2;-;-;5
"350320 ARARAQUARA";835;63;222;34;53;-;1207
"350330 ARARAS";441;3;56;19;10;-;529
"350335 ARCO-IRIS";-;-;-;-;1;-;1
"350340 AREALVA";7;-;6;7;1;-;21
"350350 AREIAS";1;3;10;1;4;-;19
"350360 AREIOPOLIS";-;4;7;-;3;-;14
"350370 ARIRANHA";6;1;6;1;1;-;15
"350380 ARTUR NOGUEIRA";77;-;22;9;5;-;113
"350390 ARUJA";148;21;61;17;18;-;265
"350395 ASPASIA";-;-;2;-;-;-;2
"350400 ASSIS";596;-;20;25;5;-;646
