 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Local ocorrência
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2014
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";230;1;9;4;4;-;248
"350020 ADOLFO";-;4;2;-;-;-;6
"350030 AGUAI";1;10;20;9;4;-;44
"350040 AGUAS DA PRATA";-;-;3;4;1;-;8
"350050 AGUAS DE LINDOIA";68;-;21;5;4;-;98
"350055 AGUAS DE SANTA BARBARA";-;1;1;1;-;-;3
"350060 AGUAS DE SAO PEDRO";-;2;1;1;3;-;7
"350070 AGUDOS";54;-;7;5;-;-;66
"350075 ALAMBARI";-;-;4;2;1;-;7
"350080 ALFREDO MARCONDES";-;-;3;-;-;-;3
"350090 ALTAIR";1;2;7;-;3;-;13
"350100 ALTINOPOLIS";39;-;5;3;7;-;54
"350110 ALTO ALEGRE";3;-;-;-;2;-;5
"350115 ALUMINIO";-;19;8;8;1;-;36
"350120 ALVARES FLORENCE";-;-;5;1;-;-;6
"350130 ALVARES MACHADO";20;-;15;5;1;-;41
"350140 ALVARO DE CARVALHO";-;-;3;1;-;-;4
"350150 ALVINLANDIA";-;-;1;-;-;-;1
"350160 AMERICANA";837;13;52;41;24;-;967
"350170 AMERICO BRASILIENSE";174;-;18;10;-;-;202
"350180 AMERICO DE CAMPOS";-;4;6;-;-;-;10
"350190 AMPARO";258;2;44;11;8;-;323
"350200 ANALANDIA";-;1;2;1;-;-;4
"350210 ANDRADINA";310;22;42;19;2;-;395
"350220 ANGATUBA";79;-;10;8;-;-;97
"350230 ANHEMBI";-;3;8;2;-;-;13
"350240 ANHUMAS";-;-;2;-;1;-;3
"350250 APARECIDA";145;24;12;10;14;2;207
"350260 APARECIDA D'OESTE";8;-;10;-;-;-;18
"350270 APIAI";102;-;11;3;1;-;117
"350275 ARACARIGUAMA";-;16;7;16;3;-;42
"350280 ARACATUBA";1079;6;71;48;14;-;1218
"350290 ARACOIABA DA SERRA";2;14;11;6;1;1;35
"350300 ARAMINA";-;-;7;4;-;-;11
"350310 ARANDU";7;-;-;1;4;-;12
"350315 ARAPEI";-;1;6;-;1;-;8
