ano,id_municipio_7digitos,pib
2018,3502200,938453092
2019,3502200,1006733297
2010,3502309,92814402
2011,3502309,89129767
2012,3502309,102812587
2013,3502309,106485670
2014,3502309,109800262
2015,3502309,99279944
2016,3502309,133367697
2017,3502309,156175816
2018,3502309,179814147
2019,3502309,147940418
2010,3502408,40677723
2011,3502408,36844674
2012,3502408,53032594
2013,3502408,70036309
2014,3502408,62927969
2015,3502408,58980423
2016,3502408,69915687
2017,3502408,85031295
2018,3502408,72982939
2019,3502408,74613083
2010,3502507,496062198
2011,3502507,591020979
2012,3502507,667000693
2013,3502507,760688647
2014,3502507,864488508
2015,3502507,1004345933
2016,3502507,1022046389
2017,3502507,1047692140
2018,3502507,1082492469
2019,3502507,1144056124
2010,3502606,54977351
2011,3502606,60221166
2012,3502606,60869283
2013,3502606,64319716
2014,3502606,80346820
2015,3502606,87330592
2016,3502606,103536932
2017,3502606,134356622
2018,3502606,103616054
2019,3502606,101312020
2010,3502705,423372757
2011,3502705,462392955
2012,3502705,489004347
2013,3502705,654322664
2014,3502705,766777479
2015,3502705,700804407
2016,3502705,634769157
2017,3502705,651325031
2018,3502705,593338143
2019,3502705,601070890
2010,3502754,1056801228
2011,3502754,1197477078
2012,3502754,1308235990
2013,3502754,1373829412
2014,3502754,1513862036
2015,3502754,1594211282
2016,3502754,2221023287
2017,3502754,2842563522
2018,3502754,3268407832
2019,3502754,3441914016
2010,3502804,4132001175
2011,3502804,4610651447
2012,3502804,5423054630
2013,3502804,6094591333
2014,3502804,6158182322
2015,3502804,6447731559
2016,3502804,6609261268
2017,3502804,6967839404
2018,3502804,7346860890
2019,3502804,7807916284
2010,3502903,315642521
2011,3502903,371409502
2012,3502903,414177686
2013,3502903,468026046
2014,3502903,519402000
2015,3502903,617215303
2016,3502903,600223726
2017,3502903,655310784
2018,3502903,861182740
2019,3502903,829737629
2010,3503000,73151837
2011,3503000,82832757
2012,3503000,94376654
2013,3503000,115468315
2014,3503000,110708634
2015,3503000,111884456
2016,3503000,109869378
2017,3503000,150201597
2018,3503000,139635789
2019,3503000,148107344
2010,3503109,69890442
2011,3503109,71285529
2012,3503109,66454003
2013,3503109,71378046
2014,3503109,81564139
2015,3503109,81697608
2016,3503109,133775282
2017,3503109,123456822
2018,3503109,117582422
2019,3503109,139359485
2010,3503158,22642913
2011,3503158,20751849
2012,3503158,23909530
2013,3503158,22581132
