 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2018
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";25;19;26;21;23;24;27;25;28;23;25;20;286
"350020 ADOLFO";2;-;1;1;-;1;1;1;2;1;-;3;13
"350030 AGUAI";2;2;5;1;5;6;1;4;8;1;7;5;47
"350040 AGUAS DA PRATA";2;1;1;2;1;1;1;2;1;3;1;5;21
"350050 AGUAS DE LINDOIA";10;9;10;7;16;14;15;9;8;9;9;15;131
"350055 AGUAS DE SANTA BARBARA";2;1;-;1;-;-;2;-;-;2;-;2;10
"350060 AGUAS DE SAO PEDRO";1;-;-;-;-;-;1;2;-;-;3;-;7
"350070 AGUDOS";8;5;4;9;8;9;10;10;13;6;8;8;98
"350075 ALAMBARI";-;-;-;-;-;-;-;1;1;1;1;1;5
"350080 ALFREDO MARCONDES";-;-;1;-;1;1;1;1;1;-;-;-;6
"350090 ALTAIR";1;-;1;1;2;-;-;1;-;-;1;1;8
"350100 ALTINOPOLIS";6;3;3;4;5;11;7;1;4;4;2;3;53
"350110 ALTO ALEGRE";1;-;1;-;-;1;-;1;-;2;-;3;9
"350115 ALUMINIO";1;2;1;1;3;3;2;-;5;1;1;4;24
"350120 ALVARES FLORENCE";-;-;-;-;-;1;1;2;-;-;2;1;7
"350130 ALVARES MACHADO";6;5;1;3;5;2;3;7;3;4;3;5;47
"350140 ALVARO DE CARVALHO";-;-;-;2;-;-;1;-;-;-;-;1;4
"350150 ALVINLANDIA";2;2;1;1;-;-;-;-;-;1;1;-;8
"350160 AMERICANA";69;70;84;70;75;90;78;77;76;60;69;70;888
"350170 AMERICO BRASILIENSE";13;16;13;9;21;21;16;16;12;17;16;14;184
"350180 AMERICO DE CAMPOS";1;-;1;3;-;2;2;-;1;2;-;-;12
"350190 AMPARO";21;27;34;24;32;28;51;38;42;44;43;40;424
"350200 ANALANDIA";-;1;1;1;-;-;1;1;1;1;-;2;9
"350210 ANDRADINA";33;20;38;27;36;29;44;29;38;44;30;37;405
"350220 ANGATUBA";5;11;5;9;3;13;6;10;7;3;8;8;88
"350230 ANHEMBI";-;-;-;2;2;1;3;1;-;2;1;2;14
"350240 ANHUMAS";-;-;-;-;-;-;2;2;-;-;-;-;4
"350250 APARECIDA";14;15;11;19;19;20;22;17;23;24;20;15;219
"350260 APARECIDA D'OESTE";-;-;1;1;4;-;-;1;2;1;-;-;10
"350270 APIAI";11;12;12;10;18;13;17;12;10;13;13;15;156
"350275 ARACARIGUAMA";4;5;4;6;5;8;2;3;5;5;9;-;56
"350280 ARACATUBA";90;93;120;104;105;106;107;106;110;102;97;117;1257
"350290 ARACOIABA DA SERRA";6;1;4;5;10;10;11;2;3;6;3;6;67
"350300 ARAMINA";-;1;-;1;-;-;-;1;1;3;-;3;10
"350310 ARANDU";3;1;2;1;-;-;-;4;2;2;2;1;18
"350315 ARAPEI";1;-;1;-;-;2;-;1;-;-;-;-;5
"350320 ARARAQUARA";80;85;86;110;90;115;115;121;122;86;89;108;1207
"350330 ARARAS";46;32;38;49;40;65;43;44;36;48;42;46;529
"350335 ARCO-IRIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"350340 AREALVA";2;-;-;2;1;1;1;5;4;1;2;2;21
"350350 AREIAS";1;2;1;3;2;1;-;2;2;-;5;-;19
"350360 AREIOPOLIS";-;2;2;2;-;1;-;2;1;3;-;1;14
"350370 ARIRANHA";2;-;3;-;2;1;5;1;1;-;-;-;15
"350380 ARTUR NOGUEIRA";5;1;7;12;11;12;9;6;13;13;11;13;113
"350390 ARUJA";21;31;25;26;14;19;22;22;25;18;17;25;265
"350395 ASPASIA";-;-;-;-;1;-;-;1;-;-;-;-;2
"350400 ASSIS";39;39;50;47;48;69;77;61;49;64;47;56;646
"350410 ATIBAIA";66;38;61;52;63;56;58;68;55;54;54;59;684
"350420 AURIFLAMA";8;7;4;8;3;3;6;2;5;4;5;7;62
"350430 AVAI";2;-;-;-;1;1;1;2;1;1;1;-;10
"350440 AVANHANDAVA";-;-;-;2;1;-;1;-;1;1;3;-;9
"350450 AVARE";27;38;43;26;41;41;38;47;44;37;28;40;450
"350460 BADY BASSITT";2;1;3;3;3;2;4;3;4;2;7;2;36
"350480 BALSAMO";1;-;-;2;-;2;2;2;-;-;1;-;10
"350490 BANANAL";2;3;3;7;3;5;3;3;2;1;-;2;34
"350500 BARAO DE ANTONINA";1;-;-;-;1;-;-;-;-;-;1;-;3
"350510 BARBOSA";-;2;1;1;-;-;1;1;-;-;1;-;7
"350520 BARIRI";11;9;8;10;12;6;9;11;8;9;6;12;111
"350530 BARRA BONITA";12;7;14;13;13;17;15;11;16;19;12;21;170
"350535 BARRA DO CHAPEU";-;1;-;-;-;-;2;-;-;1;-;-;4
