 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2015
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350335 ARCO-IRIS";1;-;-;-;-;-;-;1;-;-;-;-;2
"350340 AREALVA";3;-;-;-;1;3;3;2;6;3;1;2;24
"350350 AREIAS";2;1;1;-;-;1;-;-;2;1;-;2;10
"350360 AREIOPOLIS";1;-;-;1;1;2;-;1;1;3;3;-;13
"350370 ARIRANHA";2;1;3;3;3;1;3;1;3;1;4;-;25
"350380 ARTUR NOGUEIRA";4;9;3;10;15;12;12;7;8;7;10;10;107
"350390 ARUJA";21;24;17;18;22;21;23;35;19;20;13;19;252
"350395 ASPASIA";-;-;-;-;-;-;2;-;2;-;-;-;4
"350400 ASSIS";60;44;49;58;56;46;60;66;42;38;42;47;608
"350410 ATIBAIA";74;55;49;62;65;60;56;53;56;48;54;39;671
"350420 AURIFLAMA";3;3;1;1;8;5;2;5;10;10;2;2;52
"350430 AVAI";1;-;2;-;-;-;1;2;1;-;-;1;8
"350440 AVANHANDAVA";3;1;1;-;-;-;-;-;1;-;2;-;8
"350450 AVARE";32;29;27;22;33;36;33;31;39;32;33;24;371
"350460 BADY BASSITT";4;3;1;-;1;2;4;3;1;4;2;1;26
"350470 BALBINOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"350480 BALSAMO";3;-;-;2;1;1;-;-;3;-;1;3;14
"350490 BANANAL";1;2;1;3;3;2;3;2;2;4;2;2;27
"350500 BARAO DE ANTONINA";-;-;-;-;-;-;1;-;1;-;-;-;2
"350510 BARBOSA";2;1;-;1;-;-;1;-;-;2;1;1;9
"350520 BARIRI";24;15;19;18;15;17;25;17;12;8;7;14;191
"350530 BARRA BONITA";25;11;11;13;14;18;15;10;11;15;10;15;168
"350535 BARRA DO CHAPEU";3;1;2;-;2;-;-;2;1;2;1;1;15
"350540 BARRA DO TURVO";1;3;2;2;2;4;1;2;-;2;1;1;21
"350550 BARRETOS";109;97;83;85;95;92;90;102;112;75;69;75;1084
"350560 BARRINHA";7;8;1;1;3;2;3;6;4;2;3;4;44
"350570 BARUERI";93;85;108;114;106;114;108;131;99;88;102;95;1243
"350580 BASTOS";1;-;3;4;3;4;5;1;2;6;1;6;36
"350590 BATATAIS";25;14;12;18;17;26;31;21;33;28;18;16;259
"350600 BAURU";188;163;210;176;210;209;216;174;193;198;164;188;2289
"350610 BEBEDOURO";41;16;40;30;39;43;42;39;31;40;39;44;444
"350620 BENTO DE ABREU";1;1;-;-;-;-;1;-;1;-;-;2;6
"350630 BERNARDINO DE CAMPOS";4;3;4;3;4;3;3;5;4;4;11;4;52
"350635 BERTIOGA";21;14;16;16;21;10;20;12;23;16;20;19;208
"350640 BILAC";3;-;1;4;3;5;6;2;3;1;1;3;32
"350650 BIRIGUI";40;20;26;24;35;25;34;29;28;38;34;29;362
"350660 BIRITIBA-MIRIM";7;4;1;3;-;5;5;2;6;5;4;5;47
"350670 BOA ESPERANCA DO SUL";6;4;3;2;-;4;3;2;1;3;-;1;29
"350680 BOCAINA";2;2;1;-;-;-;3;1;3;-;-;-;12
"350690 BOFETE";-;3;2;-;-;3;4;3;2;1;1;1;20
"350700 BOITUVA";22;13;9;3;14;13;16;19;12;15;13;13;162
"350710 BOM JESUS DOS PERDOES";6;2;2;3;7;2;3;7;3;3;3;8;49
"350715 BOM SUCESSO DE ITARARE";-;1;-;2;1;-;-;-;1;1;-;1;7
"350730 BORACEIA";-;4;1;1;-;-;-;-;-;1;-;1;8
"350740 BORBOREMA";5;1;7;6;1;9;6;5;11;4;5;1;61
"350745 BOREBI";1;-;-;-;-;-;-;-;-;-;-;-;1
"350750 BOTUCATU";98;89;87;83;91;94;108;117;118;92;91;90;1158
"350760 BRAGANCA PAULISTA";97;73;75;95;94;96;108;110;84;95;92;100;1119
"350770 BRAUNA";-;-;1;-;-;-;-;-;-;-;1;1;3
"350775 BREJO ALEGRE";-;1;-;1;-;-;-;1;1;-;-;-;4
"350780 BRODOWSKI";2;5;4;-;3;3;4;4;8;5;8;3;49
"350790 BROTAS";11;11;3;6;3;8;2;7;9;5;3;6;74
"350800 BURI";8;4;7;3;2;3;4;4;6;3;4;4;52
"350810 BURITAMA";5;6;8;7;7;8;6;5;6;4;4;2;68
"350820 BURITIZAL";1;3;-;-;-;1;-;1;1;-;-;-;7
"350830 CABRALIA PAULISTA";-;-;-;-;-;-;-;-;-;2;-;1;3
"350840 CABREUVA";6;5;2;8;7;10;11;8;10;12;7;6;92
"350850 CACAPAVA";32;17;32;22;25;36;28;34;22;30;28;26;332
"350860 CACHOEIRA PAULISTA";9;12;3;7;7;7;3;8;8;6;3;10;83
"350870 CACONDE";7;6;2;8;5;7;2;6;6;5;4;5;63
"350880 CAFELANDIA";8;7;3;2;4;6;3;7;2;1;4;3;50
"350890 CAIABU";-;-;-;-;1;-;1;-;-;-;1;-;3
"350900 CAIEIRAS";20;11;24;16;22;20;18;21;16;25;25;25;243
"350910 CAIUA";-;-;-;-;-;-;-;2;-;-;-;-;2
"350920 CAJAMAR";15;7;17;17;24;18;31;23;18;16;16;12;214
"350925 CAJATI";8;3;4;4;6;4;6;3;5;1;6;2;52
"350930 CAJOBI";2;1;1;3;4;3;2;4;1;1;2;1;25
"350940 CAJURU";9;4;7;10;7;9;4;9;5;6;6;7;83
"350945 CAMPINA DO MONTE ALEGRE";-;-;1;1;-;-;1;-;1;-;-;-;4
"350950 CAMPINAS";493;355;464;509;518;483;503;485;443;419;404;427;5503
"350960 CAMPO LIMPO PAULISTA";20;19;18;15;22;25;17;17;17;13;12;12;207
"350970 CAMPOS DO JORDAO";20;15;18;8;31;16;25;17;10;15;14;13;202
"350980 CAMPOS NOVOS PAULISTA";3;-;1;-;1;1;-;1;-;-;-;-;7
"350990 CANANEIA";4;-;4;-;1;3;2;1;1;2;2;1;21
"350995 CANAS";2;-;-;-;1;1;1;-;-;-;-;-;5
"351000 CANDIDO MOTA";8;8;8;3;6;7;9;3;7;7;7;4;77
"351010 CANDIDO RODRIGUES";1;-;-;-;-;-;1;-;-;-;1;1;4
"351015 CANITAR";1;1;-;-;-;1;-;-;2;-;-;1;6
"351020 CAPAO BONITO";23;23;16;15;11;13;20;22;21;19;22;24;229
"351030 CAPELA DO ALTO";6;2;1;3;1;3;2;3;7;1;-;6;35
"351040 CAPIVARI";22;15;14;18;19;14;13;27;16;17;12;10;197
"351050 CARAGUATATUBA";38;36;39;47;42;36;38;39;40;25;43;24;447
"351060 CARAPICUIBA";84;64;76;110;105;96;89;100;109;65;62;75;1035
"351070 CARDOSO";2;-;1;3;1;2;2;2;3;1;2;1;20
"351080 CASA BRANCA";20;7;14;13;11;10;18;14;17;15;13;11;163
"351090 CASSIA DOS COQUEIROS";1;1;1;1;1;1;2;-;-;-;1;2;11
"351100 CASTILHO";8;2;3;6;6;4;2;5;7;4;6;3;56
"351110 CATANDUVA";116;121;115;97;119;90;96;106;81;97;79;85;1202
"351120 CATIGUA";-;-;-;-;-;-;1;-;1;1;2;1;6
"351130 CEDRAL";1;-;2;1;1;2;-;-;3;3;-;2;15
"351140 CERQUEIRA CESAR";7;8;7;6;7;6;7;7;4;6;4;4;73
"351150 CERQUILHO";13;9;8;10;12;6;10;10;7;11;6;12;114
"351160 CESARIO LANGE";6;2;1;7;10;5;2;8;7;7;3;6;64
"351170 CHARQUEADA";2;1;3;-;4;6;3;2;1;6;3;1;32
"351190 CLEMENTINA";3;-;-;1;3;1;3;2;1;-;3;1;18
"351200 COLINA";6;5;2;3;5;9;6;1;2;1;5;4;49
"351210 COLOMBIA";-;1;1;1;-;1;1;5;2;4;2;1;19
"351220 CONCHAL";8;3;5;1;5;3;3;10;2;7;4;6;57
"351230 CONCHAS";8;7;9;3;6;9;10;6;6;6;6;2;78
"351240 CORDEIROPOLIS";6;6;4;4;1;1;3;3;7;4;6;5;50
"351250 COROADOS";-;-;1;-;-;2;-;2;3;-;-;-;8
"351260 CORONEL MACEDO";-;-;1;-;1;1;-;-;1;-;-;-;4
"351270 CORUMBATAI";1;1;-;1;-;1;-;-;-;-;-;1;5
"351280 COSMOPOLIS";22;7;16;24;17;11;15;14;16;5;6;13;166
"351290 COSMORAMA";1;2;-;1;-;2;3;-;-;-;-;2;11
"351300 COTIA";66;72;68;80;88;83;91;100;85;79;78;74;964
"351310 CRAVINHOS";4;3;1;4;5;7;2;2;6;3;5;5;47
"351320 CRISTAIS PAULISTA";1;-;2;-;2;-;-;-;2;1;-;-;8
"351330 CRUZALIA";1;-;-;-;-;1;1;1;1;-;-;-;5
"351340 CRUZEIRO";29;28;33;40;34;31;31;32;29;27;23;19;356
"351350 CUBATAO";32;38;39;27;41;46;36;33;30;30;22;40;414
"351360 CUNHA";7;4;7;8;8;6;9;6;9;5;14;6;89
"351370 DESCALVADO";10;10;12;9;8;11;16;8;11;10;12;9;126
"351380 DIADEMA";113;78;92;104;135;101;110;131;92;101;94;101;1252
"351385 DIRCE REIS";1;1;-;-;1;-;1;1;-;-;1;1;7
"351390 DIVINOLANDIA";8;-;7;7;11;4;6;5;10;2;9;9;78
"351400 DOBRADA";2;-;-;-;1;-;-;-;-;-;2;1;6
"351410 DOIS CORREGOS";8;6;9;5;8;10;10;9;13;6;3;8;95
"351420 DOLCINOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"351430 DOURADO";2;2;1;1;1;5;4;2;1;-;1;4;24
"351440 DRACENA";32;28;28;35;37;25;32;40;25;34;23;33;372
"351450 DUARTINA";5;3;3;8;6;3;3;2;6;3;4;3;49
"351460 DUMONT";1;-;-;1;1;3;3;-;3;2;2;1;17
"351470 ECHAPORA";1;-;4;-;3;4;4;1;3;3;1;1;25
"351480 ELDORADO";2;1;3;5;1;2;3;3;-;1;2;4;27
"351490 ELIAS FAUSTO";2;4;1;2;2;-;2;2;2;1;1;1;20
"351492 ELISIARIO";-;1;-;-;-;-;1;-;1;-;1;-;4
"351500 EMBU DAS ARTES";42;30;56;35;59;67;55;39;40;38;41;55;557
"351510 EMBU-GUACU";20;12;17;23;24;15;18;23;11;22;13;28;226
"351512 EMILIANOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"351515 ENGENHEIRO COELHO";-;1;-;3;2;4;3;2;3;2;2;4;26
"351518 ESPIRITO SANTO DO PINHAL";17;14;27;22;17;18;24;13;18;17;15;24;226
"351519 ESPIRITO SANTO DO TURVO";-;1;-;-;-;-;-;-;-;-;-;-;1
"351520 ESTRELA D'OESTE";1;3;3;3;1;1;-;3;-;2;1;-;18
"351530 ESTRELA DO NORTE";1;-;-;-;-;-;-;-;1;-;-;-;2
"351535 EUCLIDES DA CUNHA PAULISTA";-;1;-;-;-;1;1;-;-;2;1;1;7
"351540 FARTURA";8;2;3;3;3;4;5;2;4;7;9;1;51
"351550 FERNANDOPOLIS";42;37;42;27;43;46;37;33;46;45;45;38;481
"351560 FERNANDO PRESTES";1;1;-;-;-;1;1;1;3;1;1;-;10
"351570 FERRAZ DE VASCONCELOS";43;26;56;47;38;42;40;44;38;49;42;39;504
"351580 FLORA RICA";-;-;-;-;-;1;1;1;-;-;-;-;3
"351590 FLOREAL";-;-;-;-;-;-;-;-;-;-;-;1;1
"351600 FLORIDA PAULISTA";3;-;1;2;3;-;1;1;2;4;3;2;22
"351610 FLORINIA";-;-;-;-;1;-;1;-;-;1;-;-;3
"351620 FRANCA";152;126;142;140;147;150;152;146;147;136;127;122;1687
"351630 FRANCISCO MORATO";43;38;29;41;49;56;62;45;46;38;35;44;526
"351640 FRANCO DA ROCHA";60;60;46;56;69;77;67;51;54;51;51;62;704
"351650 GABRIEL MONTEIRO";-;-;-;-;-;1;-;-;-;-;1;-;2
"351660 GALIA";1;3;-;-;1;2;6;-;2;2;2;4;23
"351670 GARCA";27;13;20;22;30;23;25;20;18;18;17;21;254
"351680 GASTAO VIDIGAL";1;-;1;-;-;-;-;1;-;4;-;2;9
"351685 GAVIAO PEIXOTO";-;-;-;2;-;1;-;3;-;-;-;-;6
"351690 GENERAL SALGADO";3;3;3;3;3;2;4;1;8;2;-;1;33
"351700 GETULINA";3;4;2;1;2;2;5;2;3;1;-;1;26
"351710 GLICERIO";-;-;-;1;-;-;-;-;-;-;1;1;3
"351720 GUAICARA";-;-;-;-;-;1;2;-;-;-;-;-;3
"351730 GUAIMBE";-;1;3;-;1;1;-;3;1;-;-;3;13
"351740 GUAIRA";11;8;4;4;4;7;11;9;8;8;10;11;95
"351750 GUAPIACU";-;4;3;3;4;1;3;3;4;2;2;1;30
"351760 GUAPIARA";2;4;2;2;6;7;4;4;5;2;3;2;43
"351770 GUARA";6;-;5;-;4;3;2;1;3;2;2;2;30
"351780 GUARACAI";3;-;-;1;-;4;-;1;1;4;1;4;19
"351790 GUARACI";5;1;3;1;3;-;1;-;1;2;1;1;19
"351800 GUARANI D'OESTE";-;-;-;-;-;1;1;-;-;-;-;-;2
"351810 GUARANTA";1;-;-;-;1;1;-;-;-;2;-;1;6
"351820 GUARARAPES";11;13;9;8;5;5;13;8;10;11;7;10;110
"351830 GUARAREMA";9;7;4;4;6;10;7;10;10;7;7;6;87
"351840 GUARATINGUETA";64;52;59;75;78;75;73;63;62;62;72;66;801
"351850 GUAREI";3;1;4;1;5;4;1;-;5;3;3;4;34
"351860 GUARIBA";13;5;10;7;16;11;9;14;9;12;12;11;129
"351870 GUARUJA";150;109;109;104;110;111;104;94;114;110;118;108;1341
"351880 GUARULHOS";403;323;404;474;458;465;469;402;402;385;347;382;4914
"351885 GUATAPARA";-;3;3;1;1;2;4;4;1;2;2;1;24
"351890 GUZOLANDIA";2;-;-;-;-;1;1;1;1;-;-;-;6
"351900 HERCULANDIA";2;2;-;1;2;1;5;2;1;4;3;1;24
"351905 HOLAMBRA";1;2;2;3;5;3;3;5;1;4;1;2;32
"351907 HORTOLANDIA";52;31;52;47;58;52;41;48;40;49;32;39;541
"351910 IACANGA";3;2;1;2;6;1;2;2;4;1;1;3;28
"351920 IACRI";-;-;-;-;1;-;2;1;-;1;-;1;6
"351925 IARAS";-;1;-;-;-;3;-;1;-;-;-;1;6
"351930 IBATE";7;1;8;11;10;5;5;4;3;6;8;6;74
"351940 IBIRA";2;-;4;3;1;1;2;-;3;1;3;2;22
"351950 IBIRAREMA";1;-;-;2;-;1;1;-;-;1;-;-;6
"351960 IBITINGA";26;15;24;14;27;23;27;24;11;25;22;17;255
"351970 IBIUNA";22;21;12;16;32;14;25;16;21;15;17;16;227
"351980 ICEM";2;-;1;2;-;2;2;1;1;3;1;-;15
"351990 IEPE";4;-;1;2;1;-;2;2;-;1;1;1;15
"352000 IGARACU DO TIETE";1;1;-;4;1;4;2;2;3;4;2;-;24
"352010 IGARAPAVA";6;6;9;12;13;15;11;5;13;12;11;8;121
"352020 IGARATA";2;1;1;-;2;1;-;-;-;1;4;6;18
"352030 IGUAPE";8;7;11;5;10;8;7;13;5;7;7;7;95
"352040 ILHABELA";3;3;6;5;7;9;1;5;5;4;8;9;65
"352042 ILHA COMPRIDA";5;6;6;4;5;6;5;5;4;4;3;5;58
"352044 ILHA SOLTEIRA";24;6;17;12;7;16;10;11;8;13;7;6;137
"352050 INDAIATUBA";58;64;68;73;73;68;84;71;65;57;72;76;829
"352060 INDIANA";-;-;1;-;1;1;1;-;-;-;-;-;4
"352070 INDIAPORA";1;1;-;2;2;-;1;1;-;2;-;1;11
"352080 INUBIA PAULISTA";-;-;-;-;-;-;1;-;-;-;-;-;1
"352090 IPAUSSU";5;1;3;7;3;2;2;5;3;5;5;3;44
"352100 IPERO";4;3;3;4;5;2;1;3;6;-;3;3;37
"352110 IPEUNA";1;1;-;2;1;-;1;-;1;-;2;1;10
"352115 IPIGUA";-;1;1;-;2;-;-;-;-;2;1;-;7
"352120 IPORANGA";-;1;2;3;1;1;1;1;1;-;3;-;14
"352130 IPUA";3;2;2;2;-;1;1;1;6;5;2;-;25
"352140 IRACEMAPOLIS";3;2;3;-;3;-;2;2;2;1;-;-;18
"352150 IRAPUA";1;-;1;4;1;-;-;1;-;1;-;1;10
"352160 IRAPURU";-;1;1;-;1;1;1;-;-;1;-;-;6
"352170 ITABERA";5;3;6;2;8;5;7;4;4;9;5;3;61
"352180 ITAI";6;6;5;7;3;2;12;-;8;9;7;5;70
"352190 ITAJOBI";4;2;7;6;5;3;5;3;6;-;7;-;48
"352200 ITAJU";-;2;1;-;-;-;-;-;1;-;-;-;4
"352210 ITANHAEM";56;43;53;43;45;53;36;52;38;38;45;38;540
"352215 ITAOCA";1;-;-;1;1;2;3;1;-;-;1;-;10
"352220 ITAPECERICA DA SERRA";78;62;68;60;94;92;86;81;74;49;63;76;883
"352230 ITAPETININGA";76;53;61;70;77;82;69;67;73;61;50;71;810
"352240 ITAPEVA";54;33;47;49;52;60;61;63;54;49;49;49;620
"352250 ITAPEVI";48;42;70;54;79;83;80;68;65;52;71;60;772
"352260 ITAPIRA";42;38;35;36;47;43;37;42;43;38;31;36;468
"352265 ITAPIRAPUA PAULISTA";-;-;-;-;-;2;-;3;-;1;-;1;7
"352270 ITAPOLIS";26;16;13;16;18;13;22;29;23;19;11;18;224
"352280 ITAPORANGA";5;7;4;5;8;5;4;10;4;5;10;3;70
"352290 ITAPUI";3;-;2;3;2;-;3;1;2;5;2;1;24
"352300 ITAPURA";-;-;1;1;-;-;-;-;1;-;1;-;4
"352310 ITAQUAQUECETUBA";79;48;54;72;89;83;77;59;65;69;58;72;825
"352320 ITARARE";17;12;14;18;20;18;15;23;17;14;24;31;223
"352330 ITARIRI";3;3;3;2;4;1;2;-;1;5;1;2;27
"352340 ITATIBA";39;29;36;40;37;43;48;34;34;34;37;24;435
"352350 ITATINGA";4;3;3;-;4;4;6;2;3;4;3;5;41
"352360 ITIRAPINA";3;3;5;3;3;3;4;3;2;-;2;4;35
"352370 ITIRAPUA";1;2;-;1;2;1;-;-;2;1;1;1;12
"352380 ITOBI";-;-;-;-;-;2;-;2;-;-;-;1;5
"352390 ITU";74;44;60;47;77;69;70;56;43;47;51;43;681
"352400 ITUPEVA";7;8;4;8;7;3;13;10;9;9;13;7;98
"352410 ITUVERAVA";25;21;25;27;30;33;23;25;32;22;20;31;314
"352420 JABORANDI";-;-;-;-;-;-;-;1;-;2;-;2;5
"352430 JABOTICABAL";30;33;29;33;33;23;34;33;27;29;33;24;361
"352440 JACAREI";67;49;55;67;88;87;80;75;74;68;64;74;848
"352450 JACI";1;-;-;-;-;1;2;-;4;1;1;-;10
"352460 JACUPIRANGA";2;2;1;1;4;1;1;1;3;-;4;4;24
"352470 JAGUARIUNA";14;7;9;13;12;9;10;9;19;10;7;15;134
"352480 JALES";29;28;36;33;35;45;34;29;35;34;39;30;407
"352490 JAMBEIRO";1;1;-;-;-;-;-;-;-;-;1;1;4
"352500 JANDIRA";23;14;17;17;24;15;20;9;11;12;7;10;179
"352510 JARDINOPOLIS";6;5;5;5;9;8;3;5;9;5;6;9;75
"352520 JARINU";5;7;6;10;6;8;12;7;9;5;7;7;89
"352530 JAU";105;63;85;83;73;56;81;82;69;75;75;90;937
"352540 JERIQUARA";2;-;-;-;-;1;-;-;-;-;-;1;4
"352550 JOANOPOLIS";4;2;1;2;3;3;1;4;4;4;7;2;37
"352560 JOAO RAMALHO";-;1;1;-;-;1;-;1;-;1;1;1;7
"352570 JOSE BONIFACIO";12;5;4;10;11;10;6;10;10;8;10;12;108
"352580 JULIO MESQUITA";-;1;1;-;2;-;-;1;-;-;1;1;7
"352585 JUMIRIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"352590 JUNDIAI";191;141;172;194;220;236;233;208;205;156;181;179;2316
"352600 JUNQUEIROPOLIS";9;8;8;2;9;6;10;11;7;7;9;8;94
"352610 JUQUIA";3;4;3;3;2;4;1;1;3;2;2;4;32
"352620 JUQUITIBA";6;6;9;12;16;10;7;8;9;8;8;9;108
"352630 LAGOINHA";-;1;1;2;3;2;1;1;1;1;1;2;16
"352640 LARANJAL PAULISTA";16;5;7;10;12;11;9;8;16;3;11;13;121
"352650 LAVINIA";-;-;1;3;-;1;-;2;-;-;-;-;7
"352660 LAVRINHAS";1;-;1;2;1;-;-;-;-;-;-;2;7
"352670 LEME";36;26;19;28;36;27;35;24;29;25;23;20;328
"352680 LENCOIS PAULISTA";28;18;10;19;15;11;18;17;12;10;9;12;179
"352690 LIMEIRA";133;133;145;101;119;126;149;142;134;112;85;102;1481
"352700 LINDOIA";-;2;1;-;-;1;3;-;2;-;1;2;12
"352710 LINS";36;24;39;41;38;47;51;44;28;33;30;25;436
"352720 LORENA";42;35;44;40;42;40;60;41;39;44;29;51;507
"352725 LOURDES";-;-;-;-;-;1;2;-;-;-;-;-;3
"352730 LOUVEIRA";7;3;7;6;5;10;4;6;11;8;5;7;79
"352740 LUCELIA";8;6;3;8;9;7;7;8;3;2;5;6;72
"352750 LUCIANOPOLIS";-;-;-;-;1;1;-;-;-;-;-;-;2
"352760 LUIS ANTONIO";-;2;-;-;1;1;2;1;3;2;2;-;14
"352770 LUIZIANIA";-;-;-;1;-;1;-;1;1;-;-;1;5
"352780 LUPERCIO";1;2;-;2;-;-;1;-;1;1;1;-;9
"352790 LUTECIA";-;1;-;-;-;-;-;-;-;-;1;1;3
"352800 MACATUBA";3;-;6;1;3;4;7;6;8;2;3;7;50
"352810 MACAUBAL";1;2;-;-;4;2;5;-;5;1;-;1;21
"352820 MACEDONIA";1;-;2;-;-;-;-;1;-;1;-;1;6
"352830 MAGDA";-;-;-;2;-;1;-;-;-;-;-;1;4
"352840 MAIRINQUE";9;3;5;9;12;8;14;8;12;4;6;5;95
"352850 MAIRIPORA";27;24;26;27;46;33;28;22;20;19;18;23;313
"352860 MANDURI";-;2;1;-;-;2;1;1;1;-;1;1;10
"352870 MARABA PAULISTA";-;-;1;-;-;1;-;-;-;-;-;-;2
"352880 MARACAI";6;5;4;8;3;3;3;1;5;4;5;6;53
"352885 MARAPOAMA";-;-;-;-;-;-;1;1;-;2;-;-;4
"352890 MARIAPOLIS";2;1;-;-;-;2;1;1;-;-;-;-;7
"352900 MARILIA";132;140;146;148;145;152;139;126;143;117;97;118;1603
"352910 MARINOPOLIS";-;1;-;-;1;1;-;-;-;-;-;2;5
"352920 MARTINOPOLIS";7;7;4;7;5;7;2;11;8;11;13;9;91
"352930 MATAO";37;24;31;36;46;33;41;34;32;37;36;33;420
"352940 MAUA";115;96;104;101;118;96;123;109;116;129;93;125;1325
"352950 MENDONCA";1;2;2;1;-;-;-;1;1;3;-;1;12
"352960 MERIDIANO";-;-;-;-;-;-;-;1;1;-;1;1;4
"352965 MESOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"352970 MIGUELOPOLIS";4;1;5;2;5;6;5;4;2;7;6;5;52
"352980 MINEIROS DO TIETE";1;2;3;1;2;-;1;3;2;-;-;4;19
"352990 MIRACATU";9;2;6;8;8;6;4;7;3;8;7;5;73
"353000 MIRA ESTRELA";1;1;-;2;1;1;-;-;-;-;-;-;6
"353010 MIRANDOPOLIS";15;12;12;12;9;17;15;4;9;5;16;9;135
"353020 MIRANTE DO PARANAPANEMA";2;4;3;3;2;6;1;1;5;3;2;3;35
"353030 MIRASSOL";14;8;9;9;12;5;8;8;4;11;11;10;109
"353040 MIRASSOLANDIA";1;2;3;1;-;-;1;1;1;2;-;-;12
"353050 MOCOCA";42;34;38;32;36;34;33;32;32;38;35;32;418
"353060 MOGI DAS CRUZES";221;151;165;186;227;212;199;193;186;180;162;169;2251
"353070 MOGI GUACU";65;52;60;56;63;63;56;74;60;54;60;55;718
"353080 MOGI MIRIM";43;36;35;39;41;46;47;28;34;42;43;31;465
"353090 MOMBUCA";1;-;-;1;-;-;-;-;-;-;1;-;3
"353100 MONCOES";1;-;-;1;1;-;-;1;-;-;-;2;6
