 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2015
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";21;22;18;22;26;29;31;19;14;19;19;23;263
"350020 ADOLFO";-;-;1;1;1;3;1;-;1;1;-;1;10
"350030 AGUAI";3;4;3;3;3;4;-;4;3;2;2;1;32
"350040 AGUAS DA PRATA";-;-;-;2;1;1;2;1;-;-;-;1;8
"350050 AGUAS DE LINDOIA";14;4;10;10;12;11;14;9;6;6;9;10;115
"350055 AGUAS DE SANTA BARBARA";-;-;-;-;-;1;1;1;-;1;1;1;6
"350060 AGUAS DE SAO PEDRO";-;-;-;1;1;1;2;-;-;3;1;-;9
"350070 AGUDOS";7;12;4;3;6;3;9;12;6;5;4;9;80
"350075 ALAMBARI";-;-;1;1;-;-;-;-;-;-;1;-;3
"350080 ALFREDO MARCONDES";-;-;-;-;-;-;1;-;-;1;1;-;3
"350090 ALTAIR";-;-;-;1;-;1;-;2;1;1;-;-;6
"350100 ALTINOPOLIS";5;5;4;5;3;5;2;6;7;4;3;7;56
"350110 ALTO ALEGRE";-;-;1;-;-;2;2;-;2;-;-;2;9
"350115 ALUMINIO";1;4;3;2;1;-;2;5;2;1;2;5;28
"350120 ALVARES FLORENCE";-;1;-;-;1;-;1;-;-;1;1;2;7
"350130 ALVARES MACHADO";6;-;3;4;2;1;6;2;4;1;4;6;39
"350140 ALVARO DE CARVALHO";1;1;1;-;-;1;-;2;1;2;-;-;9
"350150 ALVINLANDIA";1;-;-;-;-;-;2;-;-;-;-;-;3
"350160 AMERICANA";84;45;72;64;72;81;95;57;59;59;76;65;829
"350170 AMERICO BRASILIENSE";14;18;20;23;22;28;21;19;18;14;15;11;223
"350180 AMERICO DE CAMPOS";-;2;-;4;1;-;3;1;1;2;2;4;20
"350190 AMPARO";27;24;39;25;33;36;36;33;34;24;39;36;386
"350200 ANALANDIA";-;-;2;-;3;-;-;-;1;1;-;1;8
"350210 ANDRADINA";32;25;28;30;28;43;28;40;33;35;31;34;387
"350220 ANGATUBA";9;3;9;8;7;12;13;7;6;4;3;7;88
"350230 ANHEMBI";2;1;-;2;2;-;-;1;2;1;3;2;16
"350240 ANHUMAS";-;-;1;-;-;-;-;-;1;1;2;-;5
"350250 APARECIDA";27;14;28;21;17;30;25;14;15;13;27;19;250
"350260 APARECIDA D'OESTE";-;1;-;1;1;1;1;1;3;2;-;2;13
"350270 APIAI";14;8;8;10;11;14;21;12;9;12;8;14;141
"350275 ARACARIGUAMA";5;3;4;5;4;2;6;3;6;1;5;4;48
"350280 ARACATUBA";121;83;105;85;94;125;137;118;105;108;103;107;1291
"350290 ARACOIABA DA SERRA";4;-;4;3;5;8;4;3;3;1;5;3;43
"350300 ARAMINA";1;1;2;-;-;-;-;1;-;-;-;1;6
"350310 ARANDU";-;-;1;1;1;1;2;4;-;1;1;1;13
"350315 ARAPEI";-;-;-;-;3;-;1;1;1;-;-;-;6
"350320 ARARAQUARA";101;88;109;117;100;110;135;114;85;108;97;94;1258
"350330 ARARAS";56;37;45;58;43;48;54;51;38;50;35;46;561
