 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"355360 TAPIRATIBA";2;3;8;3;-;3;3;4;2;7;4;2;41
"355365 TAQUARAL";-;1;-;-;-;-;-;-;2;-;1;-;4
"355370 TAQUARITINGA";32;17;30;25;30;28;27;22;32;26;25;25;319
"355380 TAQUARITUBA";5;13;9;6;8;5;14;10;4;7;4;12;97
"355385 TAQUARIVAI";-;-;-;1;1;1;-;-;-;1;1;-;5
"355390 TARABAI";-;-;2;-;1;-;1;1;1;-;-;1;7
"355395 TARUMA";1;3;-;-;4;-;2;1;1;2;1;-;15
"355400 TATUI";39;43;41;45;44;50;48;40;50;53;45;39;537
"355410 TAUBATE";101;103;115;111;130;150;166;118;114;120;118;133;1479
"355420 TEJUPA";-;2;-;-;-;-;1;-;2;1;-;-;6
"355430 TEODORO SAMPAIO";3;7;7;9;4;5;15;4;5;3;7;4;73
"355440 TERRA ROXA";3;-;-;1;2;4;1;2;1;1;8;3;26
"355450 TIETE";8;8;11;7;10;21;20;9;12;8;4;11;129
"355460 TIMBURI";-;-;-;-;-;-;1;-;-;-;-;-;1
"355465 TORRE DE PEDRA";-;-;-;-;3;-;1;1;1;-;2;-;8
"355470 TORRINHA";4;3;3;3;4;3;8;4;3;6;4;2;47
"355480 TREMEMBE";3;8;3;5;6;7;13;13;11;4;7;6;86
"355490 TRES FRONTEIRAS";-;2;-;-;1;1;-;1;2;-;-;-;7
"355495 TUIUTI";3;1;-;-;-;-;-;1;1;2;-;-;8
"355500 TUPA";27;34;29;34;45;59;46;45;33;32;35;52;471
"355510 TUPI PAULISTA";8;15;8;4;8;8;7;8;10;6;6;5;93
"355520 TURIUBA";-;-;-;-;2;-;-;-;-;-;-;-;2
"355530 TURMALINA";-;-;-;-;-;-;-;1;-;-;-;-;1
"355535 UBARANA";2;1;-;-;-;-;2;-;1;-;-;2;8
"355540 UBATUBA";25;27;30;20;13;18;20;23;13;15;19;21;244
"355550 UBIRAJARA";-;1;-;-;-;1;2;1;-;1;1;-;7
"355560 UCHOA";-;1;-;2;-;-;1;1;3;2;2;2;14
"355570 UNIAO PAULISTA";-;-;1;-;-;-;-;-;1;-;-;-;2
"355580 URANIA";2;2;2;1;5;-;4;3;1;1;-;2;23
"355590 URU";-;-;-;-;1;1;-;-;-;1;-;-;3
"355600 URUPES";3;1;3;5;8;4;5;4;2;4;1;4;44
