 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e Local ocorr�ncia
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2010
"Municipio";"Hospital";"Outro estabelecimento de saude";"Domicilio";"Via publica";"Outros";"Ignorado";"Total"
"350010 ADAMANTINA";217;1;16;-;3;-;237
"350020 ADOLFO";-;-;7;-;2;-;9
"350030 AGUAI";84;18;15;12;6;-;135
"350040 AGUAS DA PRATA";-;2;-;5;5;-;12
"350050 AGUAS DE LINDOIA";84;-;36;7;8;-;135
"350055 AGUAS DE SANTA BARBARA";-;2;4;3;1;-;10
"350060 AGUAS DE SAO PEDRO";3;4;4;-;1;-;12
"350070 AGUDOS";74;-;20;6;1;-;101
"350075 ALAMBARI";-;-;5;3;-;-;8
"350080 ALFREDO MARCONDES";-;-;2;-;1;-;3
"350090 ALTAIR";-;1;6;1;1;-;9
"350100 ALTINOPOLIS";27;-;11;2;4;-;44
"350110 ALTO ALEGRE";6;-;2;2;1;-;11
"350115 ALUMINIO";-;13;14;4;-;-;31
"350120 ALVARES FLORENCE";-;-;4;5;1;-;10
"350130 ALVARES MACHADO";11;-;9;3;-;-;23
"350140 ALVARO DE CARVALHO";-;-;2;2;1;-;5
"350150 ALVINLANDIA";-;-;1;-;-;-;1
"350160 AMERICANA";823;10;82;31;12;-;958
"350170 AMERICO BRASILIENSE";204;-;8;4;4;-;220
"350180 AMERICO DE CAMPOS";1;-;6;-;1;-;8
"350190 AMPARO";234;4;72;20;3;-;333
"350200 ANALANDIA";-;2;2;-;2;-;6
"350210 ANDRADINA";256;9;27;19;7;-;318
"350220 ANGATUBA";81;-;7;11;3;-;102
"350230 ANHEMBI";-;2;7;2;2;-;13
"350240 ANHUMAS";-;1;2;-;-;-;3
"350250 APARECIDA";143;-;18;11;3;-;175
"350260 APARECIDA D'OESTE";16;-;6;-;-;-;22
"350270 APIAI";80;-;6;2;3;-;91
"350275 ARACARIGUAMA";6;2;9;19;3;-;39
"350280 ARACATUBA";1035;14;68;35;17;-;1169
"350290 ARACOIABA DA SERRA";1;12;34;7;8;-;62
"350300 ARAMINA";-;-;5;3;-;-;8
"350310 ARANDU";20;-;6;1;-;-;27
"350315 ARAPEI";-;4;2;-;-;-;6
"350320 ARARAQUARA";926;30;194;37;27;-;1214
"350330 ARARAS";451;2;45;26;12;-;536
"350335 ARCO-IRIS";-;-;2;1;-;-;3
"350340 AREALVA";22;-;14;2;3;-;41
"350350 AREIAS";4;2;1;-;-;-;7
"350360 AREIOPOLIS";-;8;7;-;1;-;16
"350370 ARIRANHA";11;-;7;3;-;-;21
"350380 ARTUR NOGUEIRA";29;3;6;10;7;-;55
"350390 ARUJA";66;96;41;20;3;-;226
"350400 ASSIS";502;4;13;13;15;1;548
"350410 ATIBAIA";451;2;105;44;33;-;635
"350420 AURIFLAMA";27;5;10;2;1;-;45
"350430 AVAI";-;-;5;2;2;-;9
"350440 AVANHANDAVA";-;4;1;4;2;-;11
"350450 AVARE";253;105;40;15;14;-;427
"350460 BADY BASSITT";-;7;7;2;-;-;16
"350470 BALBINOS";-;-;3;-;3;-;6
"350480 BALSAMO";-;7;10;-;1;-;18
"350490 BANANAL";1;19;11;3;1;-;35
"350500 BARAO DE ANTONINA";-;-;2;-;-;-;2
"350510 BARBOSA";-;-;4;3;-;-;7
"350520 BARIRI";120;1;15;1;-;-;137
"350530 BARRA BONITA";164;-;21;3;5;-;193
"350535 BARRA DO CHAPEU";-;-;12;-;-;-;12
"350540 BARRA DO TURVO";2;2;6;18;5;1;34
"350550 BARRETOS";714;-;54;17;6;1;792
"350560 BARRINHA";5;10;9;1;6;-;31
"350570 BARUERI";427;473;66;32;15;-;1013
"350580 BASTOS";26;7;3;-;1;1;38
"350590 BATATAIS";239;1;26;13;4;-;283
"350600 BAURU";1418;319;298;52;56;2;2145
"350610 BEBEDOURO";359;4;36;15;7;-;421
"350620 BENTO DE ABREU";-;-;-;-;1;-;1
"350630 BERNARDINO DE CAMPOS";31;-;10;-;2;-;43
"350635 BERTIOGA";110;2;27;18;25;-;182
"350640 BILAC";15;-;8;1;3;-;27
"350650 BIRIGUI";228;40;33;23;3;-;327
"350660 BIRITIBA-MIRIM";3;6;13;6;3;-;31
"350670 BOA ESPERANCA DO SUL";23;-;12;3;1;-;39
"350680 BOCAINA";13;-;10;6;5;-;34
"350690 BOFETE";-;7;7;-;1;-;15
"350700 BOITUVA";66;-;21;9;9;1;106
"350710 BOM JESUS DOS PERDOES";-;23;18;6;2;3;52
"350715 BOM SUCESSO DE ITARARE";-;1;5;-;2;-;8
"350720 BORA";-;-;-;1;-;-;1
"350730 BORACEIA";-;-;2;1;2;-;5
"350740 BORBOREMA";28;20;13;2;1;-;64
"350745 BOREBI";-;-;-;-;1;-;1
"350750 BOTUCATU";819;1;113;15;28;-;976
"350760 BRAGANCA PAULISTA";825;1;124;28;23;-;1001
"350770 BRAUNA";-;1;2;2;-;-;5
"350775 BREJO ALEGRE";-;-;1;2;1;-;4
"350780 BRODOWSKI";4;9;18;8;3;-;42
"350790 BROTAS";37;-;15;4;4;-;60
"350800 BURI";-;10;17;3;6;-;36
"350810 BURITAMA";27;-;3;4;4;-;38
"350820 BURITIZAL";-;-;7;2;-;-;9
"350830 CABRALIA PAULISTA";-;1;1;1;-;-;3
"350840 CABREUVA";35;12;23;13;2;-;85
"350850 CACAPAVA";209;-;32;21;4;7;273
"350860 CACHOEIRA PAULISTA";50;-;14;9;8;-;81
"350870 CACONDE";37;-;16;3;2;-;58
"350880 CAFELANDIA";49;-;7;3;-;-;59
"350890 CAIABU";-;-;3;-;1;-;4
"350900 CAIEIRAS";105;87;45;25;3;-;265
"350910 CAIUA";-;-;7;-;1;-;8
"350920 CAJAMAR";120;13;26;24;3;-;186
"350925 CAJATI";28;-;18;24;4;2;76
"350930 CAJOBI";5;-;10;-;-;-;15
"350940 CAJURU";62;3;8;4;3;-;80
"350945 CAMPINA DO MONTE ALEGRE";-;2;9;-;1;-;12
"350950 CAMPINAS";4097;210;748;235;173;1;5464
"350960 CAMPO LIMPO PAULISTA";165;1;33;11;9;2;221
"350970 CAMPOS DO JORDAO";181;53;24;13;25;-;296
"350980 CAMPOS NOVOS PAULISTA";-;1;4;-;-;-;5
"350990 CANANEIA";6;1;11;2;2;5;27
"350995 CANAS";-;-;3;2;-;-;5
"351000 CANDIDO MOTA";79;1;8;6;1;-;95
"351010 CANDIDO RODRIGUES";-;-;2;1;1;-;4
"351015 CANITAR";-;-;1;3;-;-;4
"351020 CAPAO BONITO";140;3;53;18;4;-;218
"351030 CAPELA DO ALTO";-;8;21;7;2;-;38
"351040 CAPIVARI";241;-;35;7;2;-;285
"351050 CARAGUATATUBA";303;-;14;39;17;-;373
"351060 CARAPICUIBA";527;192;189;45;13;-;966
"351070 CARDOSO";9;7;7;4;5;-;32
"351080 CASA BRANCA";103;20;20;10;4;-;157
"351090 CASSIA DOS COQUEIROS";1;-;1;2;-;-;4
"351100 CASTILHO";20;-;3;5;1;-;29
"351110 CATANDUVA";1080;1;36;19;9;-;1145
"351120 CATIGUA";-;-;8;4;-;-;12
"351130 CEDRAL";-;3;10;4;1;-;18
"351140 CERQUEIRA CESAR";61;-;11;6;1;-;79
"351150 CERQUILHO";67;-;25;6;2;-;100
"351160 CESARIO LANGE";32;-;11;8;-;-;51
"351170 CHARQUEADA";21;-;15;5;2;-;43
"351190 CLEMENTINA";6;-;6;3;-;-;15
"351200 COLINA";10;7;9;-;1;-;27
"351210 COLOMBIA";5;-;1;5;2;1;14
"351220 CONCHAL";43;-;12;1;4;2;62
"351230 CONCHAS";60;-;10;4;1;-;75
"351240 CORDEIROPOLIS";15;-;9;4;-;-;28
"351250 COROADOS";-;-;2;3;-;-;5
"351260 CORONEL MACEDO";-;-;-;1;-;-;1
"351270 CORUMBATAI";-;-;2;-;1;-;3
"351280 COSMOPOLIS";77;-;17;10;6;-;110
