 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e Local ocorr�ncia
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2013
"Municipio";"Hospital";"Outro estabelecimento de saude";"Domicilio";"Via publica";"Outros";"Ignorado";"Total"
"355090 SAO SIMAO";18;-;5;10;2;-;35
"355100 SAO VICENTE";777;141;253;55;29;-;1255
"355110 SARAPUI";-;1;9;1;-;-;11
"355120 SARUTAIA";-;-;10;-;-;-;10
"355130 SEBASTIANOPOLIS DO SUL";-;-;5;-;-;-;5
"355140 SERRA AZUL";1;7;8;5;1;-;22
"355150 SERRANA";43;31;21;5;2;-;102
"355160 SERRA NEGRA";110;1;9;3;2;-;125
"355170 SERTAOZINHO";483;10;64;20;5;-;582
"355180 SETE BARRAS";8;1;7;2;4;-;22
"355190 SEVERINIA";6;-;14;4;2;-;26
"355200 SILVEIRAS";-;10;5;-;2;-;17
"355210 SOCORRO";107;-;41;5;1;-;154
"355220 SOROCABA";2653;110;423;114;95;-;3395
"355230 SUD MENNUCCI";18;-;8;-;1;-;27
"355240 SUMARE";376;144;97;58;19;-;694
"355250 SUZANO";473;42;99;60;30;-;704
"355255 SUZANAPOLIS";-;-;6;2;-;-;8
"355260 TABAPUA";16;-;12;-;1;-;29
"355270 TABATINGA";20;8;15;2;1;-;46
"355280 TABOAO DA SERRA";749;66;164;38;11;-;1028
"355290 TACIBA";-;-;3;1;1;-;5
"355300 TAGUAI";22;-;4;-;-;-;26
"355310 TAIACU";3;1;3;-;-;-;7
"355320 TAIUVA";5;-;3;-;2;-;10
"355330 TAMBAU";53;2;3;2;3;-;63
"355340 TANABI";44;1;5;2;7;1;60
"355350 TAPIRAI";9;-;1;2;4;-;16
"355360 TAPIRATIBA";28;2;6;3;-;-;39
"355365 TAQUARAL";-;2;2;2;-;-;6
"355370 TAQUARITINGA";213;1;52;6;4;-;276
"355380 TAQUARITUBA";70;-;7;9;4;-;90
"355385 TAQUARIVAI";-;-;2;2;-;-;4
"355390 TARABAI";-;-;8;1;-;-;9
"355395 TARUMA";-;-;7;-;-;-;7
"355400 TATUI";262;157;93;17;14;-;543
"355410 TAUBATE";984;345;148;45;46;1;1569
"355420 TEJUPA";-;-;2;-;-;-;2
"355430 TEODORO SAMPAIO";45;-;14;4;2;-;65
"355440 TERRA ROXA";14;5;-;1;-;-;20
"355450 TIETE";90;1;21;11;-;-;123
"355460 TIMBURI";-;-;6;2;1;-;9
"355465 TORRE DE PEDRA";-;1;4;-;-;-;5
"355470 TORRINHA";19;-;3;1;-;-;23
"355480 TREMEMBE";16;48;31;12;7;-;114
"355490 TRES FRONTEIRAS";-;-;9;2;-;-;11
"355495 TUIUTI";-;-;7;3;1;-;11
"355500 TUPA";334;4;41;12;1;-;392
"355510 TUPI PAULISTA";62;15;14;2;-;-;93
"355520 TURIUBA";-;-;-;1;-;-;1
"355530 TURMALINA";-;-;2;1;-;-;3
"355535 UBARANA";-;1;5;2;-;-;8
"355540 UBATUBA";178;3;32;11;42;1;267
"355550 UBIRAJARA";-;2;8;1;-;-;11
"355560 UCHOA";8;-;2;4;2;-;16
"355570 UNIAO PAULISTA";-;-;2;-;-;-;2
"355580 URANIA";11;-;16;3;1;-;31
"355590 URU";-;-;2;1;1;-;4
"355600 URUPES";36;3;14;2;2;-;57
"355610 VALENTIM GENTIL";-;1;1;3;1;-;6
"355620 VALINHOS";457;17;76;19;23;-;592
"355630 VALPARAISO";39;-;9;3;2;-;53
"355635 VARGEM";-;3;13;5;-;-;21
"355640 VARGEM GRANDE DO SUL";132;-;11;3;2;-;148
"355645 VARGEM GRANDE PAULISTA";-;27;24;8;3;-;62
"355650 VARZEA PAULISTA";142;-;38;13;9;-;202
"355660 VERA CRUZ";-;1;11;1;2;-;15
"355670 VINHEDO";79;68;14;9;11;-;181
